Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
D.J. Wilson,2017-18,0.95,0.45,0.14,0.05,0.14,MIL,22.0,22,0,71,0.563,0.4,1,2,0.5,D.J. Wilson,0.18,0.3,0.09,0.23,0.41,0.73,0.09
D.J. Wilson,2018-19,5.83,4.62,1.08,0.42,0.38,MIL,23.0,48,3,882,0.414,0.362,26,47,0.553,D.J. Wilson,0.67,1.8,0.96,2.65,2.17,5.23,0.94
D.J. Wilson,2019-20,3.59,2.49,0.68,0.14,0.08,MIL,24.0,37,1,363,0.394,0.247,11,18,0.611,D.J. Wilson,0.51,0.9,0.49,1.97,1.41,3.57,0.32
D.J. Wilson,2020-21,3.58,2.08,0.25,0.33,0.08,MIL,25.0,12,0,105,0.372,0.357,1,2,0.5,D.J. Wilson,0.33,1.1,0.83,2.33,1.33,3.58,0.25
D.J. Wilson,2020-21,6.09,3.78,0.87,0.52,0.43,HOU,25.0,23,1,328,0.416,0.339,16,23,0.696,D.J. Wilson,0.78,1.3,0.87,2.57,2.26,5.43,0.74
D.J. Wilson,2020-21,5.23,3.2,0.66,0.46,0.31,TOT,25.0,35,1,433,0.405,0.345,17,25,0.68,D.J. Wilson,0.63,1.3,0.86,2.49,1.94,4.8,0.57
D.J. Wilson,2021-22,7.5,4.0,1.25,0.25,1.25,TOR,26.0,4,1,54,0.733,0.0,8,10,0.8,D.J. Wilson,0.5,1.5,0.0,0.5,2.75,3.75,0.25
D.J. Wilson,2023-24,5.0,1.0,1.0,1.0,0.0,PHI,28.0,2,0,15,0.667,1.0,0,0,0.0,D.J. Wilson,0.0,0.5,1.0,1.0,2.0,3.0,0.5
Jalen Wilson,2023-24,4.98,3.05,1.05,0.09,0.26,BKN,23.0,43,3,665,0.425,0.324,38,46,0.826,Jalen Wilson,0.44,1.1,0.56,1.72,1.77,4.16,1.09
Jalen Wilson,2024-25,9.48,3.42,1.84,0.06,0.51,BKN,24.0,79,22,2031,0.397,0.337,135,165,0.818,Jalen Wilson,1.0,2.1,1.54,4.58,3.11,7.85,0.95
Jalen Wilson,2025-26,6.5,1.1,0.7,0.0,0.2,BKN,25.0,10,0,171,0.385,0.429,10,13,0.769,Jalen Wilson,0.8,1.5,1.5,3.5,2.0,5.2,0.2
Kyle Wiltjer,2016-17,0.93,0.71,0.14,0.07,0.21,HOU,24.0,14,0,44,0.286,0.308,1,2,0.5,Kyle Wiltjer,0.36,0.3,0.29,0.93,0.29,1.0,0.29
Dylan Windler,2020-21,5.19,3.45,1.06,0.39,0.61,CLE,24.0,31,0,513,0.438,0.338,21,27,0.778,Dylan Windler,1.03,1.2,0.84,2.48,1.84,4.19,0.65
Dylan Windler,2021-22,2.2,1.78,0.68,0.06,0.28,CLE,25.0,50,0,459,0.378,0.3,15,18,0.833,Dylan Windler,0.32,0.9,0.42,1.4,0.74,1.96,0.42
Dylan Windler,2022-23,1.67,0.0,0.33,0.0,0.33,CLE,26.0,3,0,10,0.667,0.5,0,0,0.0,Dylan Windler,0.33,0.0,0.33,0.67,0.67,1.0,0.0
Dylan Windler,2023-24,1.0,0.33,0.33,0.0,0.0,NYK,27.0,3,0,7,0.5,0.5,0,0,0.0,Dylan Windler,0.0,0.3,0.33,0.67,0.33,0.67,0.0
Dylan Windler,2023-24,1.5,0.38,0.75,0.0,0.0,LAL,27.0,8,0,28,0.444,0.5,0,0,0.0,Dylan Windler,0.0,0.2,0.5,1.0,0.5,1.12,0.0
Dylan Windler,2023-24,4.67,2.0,0.5,0.0,0.33,ATL,27.0,6,0,73,0.526,0.471,0,0,0.0,Dylan Windler,0.33,0.5,1.33,2.83,1.67,3.17,0.5
Dylan Windler,2023-24,2.53,0.94,0.59,0.0,0.12,TOT,27.0,17,0,108,0.5,0.481,0,0,0.0,Dylan Windler,0.12,0.4,0.76,1.59,0.88,1.76,0.18
Justise Winslow,2015-16,6.44,5.17,1.51,0.33,0.87,MIA,20.0,78,8,2232,0.422,0.276,80,117,0.684,Justise Winslow,1.22,2.4,0.41,1.49,2.5,5.92,1.04
Justise Winslow,2016-17,10.89,5.22,3.67,0.33,1.44,MIA,21.0,18,15,625,0.356,0.2,29,47,0.617,Justise Winslow,1.83,2.9,0.39,1.94,4.44,12.5,1.28
Justise Winslow,2017-18,7.78,5.44,2.18,0.49,0.79,MIA,22.0,68,25,1680,0.424,0.38,66,104,0.635,Justise Winslow,1.13,2.1,0.72,1.9,3.04,7.18,0.94
Justise Winslow,2018-19,12.58,5.38,4.27,0.29,1.09,MIA,23.0,66,52,1960,0.433,0.375,86,137,0.628,Justise Winslow,2.15,2.7,1.45,3.88,4.91,11.35,0.95
Justise Winslow,2019-20,11.27,6.64,4.0,0.45,0.64,MIA,24.0,11,5,352,0.388,0.222,18,27,0.667,Justise Winslow,2.18,3.5,0.55,2.45,4.55,11.73,1.45
Justise Winslow,2020-21,6.85,4.54,1.92,0.46,0.58,MEM,25.0,26,1,507,0.352,0.185,20,35,0.571,Justise Winslow,1.42,1.8,0.38,2.08,2.85,8.08,0.69
Justise Winslow,2021-22,4.22,3.59,1.41,0.49,0.57,LAC,26.0,37,1,480,0.447,0.172,25,41,0.61,Justise Winslow,1.0,1.2,0.14,0.78,1.7,3.81,0.81
Justise Winslow,2021-22,10.73,6.27,2.91,0.64,1.27,POR,26.0,11,10,295,0.405,0.27,14,25,0.56,Justise Winslow,1.09,1.9,0.91,3.36,4.27,10.55,1.82
Justise Winslow,2021-22,5.71,4.21,1.75,0.52,0.73,TOT,26.0,48,11,775,0.428,0.227,39,66,0.591,Justise Winslow,1.02,1.4,0.31,1.38,2.29,5.35,1.04
Justise Winslow,2022-23,6.76,5.0,3.38,0.38,1.03,POR,27.0,29,11,776,0.409,0.311,20,28,0.714,Justise Winslow,1.48,3.1,0.48,1.55,2.79,6.83,1.69
Cassius Winston,2020-21,1.86,0.41,0.55,0.05,0.09,WAS,23.0,22,0,98,0.424,0.471,5,6,0.833,Cassius Winston,0.23,0.4,0.36,0.77,0.64,1.5,0.0
Cassius Winston,2021-22,2.0,0.14,1.0,0.0,0.0,WAS,24.0,7,0,39,0.364,0.333,4,4,1.0,Cassius Winston,0.43,1.3,0.29,0.86,0.57,1.57,0.0
James Wiseman,2020-21,11.49,5.79,0.67,0.92,0.28,GSW,20.0,39,27,836,0.519,0.316,54,86,0.628,James Wiseman,1.54,3.1,0.31,0.97,4.9,9.44,1.41
James Wiseman,2022-23,6.9,3.48,0.67,0.33,0.14,GSW,22.0,21,0,262,0.628,0.5,26,38,0.684,James Wiseman,0.67,1.9,0.05,0.1,2.81,4.48,0.86
James Wiseman,2022-23,12.71,8.08,0.67,0.83,0.17,DET,22.0,24,22,605,0.531,0.167,42,59,0.712,James Wiseman,1.54,2.9,0.12,0.75,5.42,10.21,2.29
James Wiseman,2022-23,10.0,5.93,0.67,0.6,0.16,TOT,22.0,45,22,867,0.558,0.2,68,97,0.701,James Wiseman,1.13,2.4,0.09,0.44,4.2,7.53,1.62
James Wiseman,2023-24,7.08,5.33,0.86,0.62,0.19,DET,23.0,63,6,1091,0.613,0.0,72,102,0.706,James Wiseman,1.05,2.2,0.0,0.03,2.97,4.84,1.75
James Wiseman,2024-25,6.0,1.0,0.0,0.0,0.0,IND,24.0,1,0,5,0.5,0.0,2,2,1.0,James Wiseman,0.0,0.0,0.0,1.0,2.0,4.0,0.0
James Wiseman,2025-26,4.0,4.0,0.0,1.0,0.0,IND,24.0,1,1,20,0.667,0.0,0,0,0.0,James Wiseman,3.0,2.0,0.0,0.0,2.0,3.0,4.0
Jeff Withey,2013-14,3.28,2.59,0.45,0.86,0.26,NOP,24.0,58,4,684,0.535,0.0,52,73,0.712,Jeff Withey,0.34,1.3,0.0,0.02,1.19,2.22,0.84
Jeff Withey,2014-15,2.65,1.73,0.3,0.49,0.11,NOP,25.0,37,0,259,0.5,0.0,34,50,0.68,Jeff Withey,0.32,0.7,0.0,0.0,0.86,1.73,0.62
Jeff Withey,2015-16,4.25,3.39,0.39,1.04,0.41,UTA,26.0,51,10,658,0.537,0.0,43,59,0.729,Jeff Withey,0.55,1.5,0.0,0.04,1.71,3.18,1.1
Jeff Withey,2016-17,2.86,2.37,0.14,0.63,0.31,UTA,27.0,51,1,432,0.534,0.0,36,48,0.75,Jeff Withey,0.27,1.0,0.0,0.02,1.08,2.02,1.02
Jeff Withey,2017-18,1.5,1.0,0.0,0.3,0.0,DAL,28.0,10,0,39,0.375,0.2,1,2,0.5,Jeff Withey,0.2,0.3,0.2,1.0,0.6,1.6,0.1
Ruben Wolkowyski,2000-01,2.21,1.35,0.09,0.53,0.18,SEA,27.0,34,1,305,0.316,0.0,25,34,0.735,Ruben Wolkowyski,0.35,1.1,0.0,0.06,0.74,2.32,0.35
Ruben Wolkowyski,2002-03,0.71,0.14,0.14,0.0,0.0,BOS,29.0,7,0,24,0.5,0.0,1,4,0.25,Ruben Wolkowyski,0.14,0.4,0.0,0.14,0.29,0.57,0.0
Nate Wolters,2013-14,7.19,2.57,3.22,0.26,0.6,MIL,23.0,58,31,1309,0.437,0.29,59,90,0.656,Nate Wolters,0.98,1.2,0.31,1.07,2.93,6.71,0.57
Nate Wolters,2014-15,2.27,1.45,0.91,0.0,0.45,MIL,24.0,11,0,142,0.387,0.0,1,4,0.25,Nate Wolters,0.27,1.0,0.0,0.45,1.09,2.82,0.18
Nate Wolters,2014-15,1.7,1.8,1.1,0.2,0.3,NOP,24.0,10,0,105,0.308,0.0,1,2,0.5,Nate Wolters,1.0,0.7,0.0,0.2,0.8,2.6,0.6
Nate Wolters,2014-15,2.0,1.62,1.0,0.1,0.38,TOT,24.0,21,0,247,0.351,0.0,2,6,0.333,Nate Wolters,0.62,0.9,0.0,0.33,0.95,2.71,0.38
Nate Wolters,2017-18,0.4,0.4,0.2,0.0,0.0,UTA,27.0,5,0,19,0.167,0.0,0,0,0.0,Nate Wolters,0.0,0.2,0.0,0.0,0.2,1.2,0.2
Isaiah Wong,2023-24,2.0,0.0,0.0,0.0,0.0,IND,23.0,1,0,4,0.333,0.0,0,0,0.0,Isaiah Wong,0.0,0.0,0.0,1.0,1.0,3.0,0.0
Isaiah Wong,2024-25,6.0,1.6,1.4,0.0,0.55,CHA,24.0,20,0,266,0.39,0.394,25,34,0.735,Isaiah Wong,0.9,1.0,0.65,1.65,2.05,5.25,0.7
Christian Wood,2015-16,3.59,2.24,0.18,0.41,0.29,PHI,20.0,17,0,145,0.415,0.364,13,21,0.619,Christian Wood,0.12,0.6,0.24,0.65,1.29,3.12,0.76
Christian Wood,2016-17,2.69,2.23,0.15,0.46,0.23,CHA,21.0,13,0,107,0.522,0.0,11,15,0.733,Christian Wood,0.54,0.8,0.0,0.38,0.92,1.77,1.08
Christian Wood,2018-19,2.85,1.54,0.15,0.0,0.0,MIL,23.0,13,0,62,0.48,0.6,10,15,0.667,Christian Wood,0.23,0.2,0.23,0.38,0.92,1.92,0.31
Christian Wood,2018-19,16.88,7.88,0.75,1.25,0.88,NOP,23.0,8,2,189,0.533,0.286,31,41,0.756,Christian Wood,1.75,1.8,0.75,2.62,6.12,11.5,1.62
Christian Wood,2018-19,8.19,3.95,0.38,0.48,0.33,TOT,23.0,21,2,250,0.521,0.346,41,56,0.732,Christian Wood,0.81,0.8,0.43,1.24,2.9,5.57,0.81
Christian Wood,2019-20,13.06,6.29,0.97,0.87,0.55,DET,24.0,62,12,1325,0.567,0.386,180,242,0.744,Christian Wood,1.35,1.6,0.87,2.26,4.65,8.19,1.68
Christian Wood,2020-21,20.98,9.63,1.73,1.17,0.83,HOU,25.0,41,41,1326,0.514,0.374,125,198,0.631,Christian Wood,1.95,2.1,1.88,5.02,8.02,15.61,1.85
Christian Wood,2021-22,17.91,10.09,2.28,0.96,0.79,HOU,26.0,68,67,2094,0.501,0.39,207,332,0.623,Christian Wood,1.85,2.5,1.93,4.94,6.47,12.91,1.62
Christian Wood,2022-23,16.63,7.33,1.81,1.07,0.45,DAL,27.0,67,17,1738,0.515,0.376,217,281,0.772,Christian Wood,1.81,2.5,1.57,4.16,5.91,11.48,1.3
Christian Wood,2023-24,6.94,5.08,0.98,0.66,0.32,LAL,28.0,50,1,872,0.466,0.307,66,94,0.702,Christian Wood,1.0,1.4,0.7,2.28,2.46,5.28,0.78
Robert Woodard II,2020-21,1.54,1.23,0.15,0.23,0.0,SAC,21.0,13,0,45,0.4,0.167,3,8,0.375,Robert Woodard II,0.08,0.3,0.08,0.46,0.62,1.54,0.31
Robert Woodard II,2021-22,0.58,0.92,0.25,0.08,0.08,SAC,22.0,12,0,42,0.125,0.25,2,2,1.0,Robert Woodard II,0.08,0.2,0.08,0.33,0.17,1.33,0.42
Loren Woods,2001-02,1.83,2.03,0.37,0.57,0.28,MIN,24.0,60,0,516,0.344,0.0,44,60,0.733,Loren Woods,0.6,1.0,0.0,0.03,0.55,1.6,0.77
Loren Woods,2002-03,2.11,2.5,0.5,0.34,0.26,MIN,25.0,38,11,353,0.382,0.333,21,27,0.778,Loren Woods,0.61,1.0,0.03,0.08,0.76,2.0,0.71
Loren Woods,2003-04,3.18,3.53,0.26,0.5,0.29,MIA,26.0,38,2,505,0.458,0.0,33,55,0.6,Loren Woods,0.68,1.4,0.0,0.0,1.16,2.53,1.71
Loren Woods,2004-05,3.91,4.89,0.38,0.87,0.18,TOR,27.0,45,30,711,0.433,0.0,34,59,0.576,Loren Woods,0.82,1.7,0.0,0.02,1.58,3.64,1.8
Loren Woods,2005-06,2.3,4.07,0.15,0.85,0.33,TOR,28.0,27,4,324,0.475,0.0,6,14,0.429,Loren Woods,0.59,1.8,0.0,0.04,1.04,2.19,1.63
Loren Woods,2007-08,0.86,0.14,0.29,0.0,0.0,HOU,30.0,7,0,17,0.6,0.0,0,0,0.0,Loren Woods,0.0,0.3,0.0,0.0,0.43,0.71,0.0
Qyntel Woods,2002-03,2.42,1.0,0.23,0.02,0.28,POR,22.0,53,0,334,0.5,0.333,7,20,0.35,Qyntel Woods,0.43,0.7,0.06,0.17,1.11,2.23,0.28
Qyntel Woods,2003-04,3.61,2.19,0.74,0.23,0.32,POR,23.0,62,8,671,0.371,0.345,38,60,0.633,Qyntel Woods,0.84,1.4,0.16,0.47,1.42,3.82,0.74
Qyntel Woods,2004-05,3.33,2.0,0.0,0.0,1.33,MIA,24.0,3,0,40,0.417,0.0,0,0,0.0,Qyntel Woods,0.67,2.0,0.0,0.0,1.67,4.0,0.67
