Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Renaldo Balkman,2006-07,4.91,4.32,0.65,0.65,0.84,NYK,22.0,68,1,1064,0.505,0.185,51,90,0.567,Renaldo Balkman,0.72,2.1,0.07,0.4,2.04,4.04,1.43
Renaldo Balkman,2007-08,3.45,3.32,0.62,0.46,0.68,NYK,23.0,65,0,952,0.489,0.083,41,95,0.432,Renaldo Balkman,0.57,2.0,0.02,0.18,1.4,2.86,1.28
Renaldo Balkman,2008-09,4.98,3.83,0.64,0.43,0.89,DEN,24.0,53,10,780,0.558,0.286,42,65,0.646,Renaldo Balkman,0.66,1.8,0.04,0.13,2.08,3.72,1.62
Renaldo Balkman,2009-10,1.08,1.77,0.54,0.15,0.62,DEN,25.0,13,1,91,0.333,0.0,2,6,0.333,Renaldo Balkman,0.46,1.2,0.0,0.54,0.46,1.38,0.31
Renaldo Balkman,2010-11,2.6,0.8,0.4,0.4,0.6,DEN,26.0,5,0,44,0.556,0.0,3,4,0.75,Renaldo Balkman,0.0,2.2,0.0,0.0,1.0,1.8,0.2
Renaldo Balkman,2010-11,1.0,1.0,0.0,0.0,0.33,NYK,26.0,3,0,18,0.25,0.5,0,0,0.0,Renaldo Balkman,0.33,1.3,0.33,0.67,0.33,1.33,0.33
Renaldo Balkman,2010-11,2.0,0.88,0.25,0.25,0.5,TOT,26.0,8,0,63,0.462,0.5,3,4,0.75,Renaldo Balkman,0.12,1.9,0.12,0.25,0.75,1.62,0.25
Renaldo Balkman,2011-12,3.0,1.86,0.36,0.21,0.29,NYK,27.0,14,0,115,0.5,0.222,8,11,0.727,Renaldo Balkman,0.43,1.0,0.14,0.64,1.14,2.29,0.43
LaMelo Ball,2020-21,15.75,5.92,6.14,0.35,1.59,CHA,19.0,51,31,1469,0.436,0.352,125,165,0.758,LaMelo Ball,2.84,2.7,1.8,5.12,5.75,13.18,1.24
LaMelo Ball,2021-22,20.11,6.68,7.61,0.4,1.59,CHA,20.0,75,75,2422,0.429,0.389,212,243,0.872,LaMelo Ball,3.27,3.2,2.93,7.53,7.17,16.72,1.44
LaMelo Ball,2022-23,23.28,6.42,8.44,0.31,1.28,CHA,21.0,36,36,1268,0.411,0.376,102,122,0.836,LaMelo Ball,3.58,3.3,4.0,10.64,8.22,20.03,1.17
LaMelo Ball,2023-24,23.91,5.14,8.0,0.18,1.82,CHA,22.0,22,22,711,0.433,0.355,90,104,0.865,LaMelo Ball,3.77,3.6,3.18,8.95,8.32,19.23,1.32
LaMelo Ball,2024-25,25.19,4.94,7.36,0.28,1.15,CHA,23.0,47,47,1505,0.405,0.339,193,229,0.843,LaMelo Ball,3.55,3.3,3.81,11.23,8.64,21.34,1.0
LaMelo Ball,2025-26,23.33,7.83,9.83,0.17,1.67,CHA,24.0,6,6,200,0.43,0.333,22,27,0.815,LaMelo Ball,3.67,3.5,3.33,10.0,8.17,19.0,1.5
Lonzo Ball,2017-18,10.15,6.92,7.23,0.83,1.69,LAL,20.0,52,50,1780,0.36,0.305,32,71,0.451,Lonzo Ball,2.62,2.2,1.73,5.67,3.9,10.85,1.33
Lonzo Ball,2018-19,9.89,5.34,5.43,0.4,1.47,LAL,21.0,47,45,1423,0.406,0.329,20,48,0.417,Lonzo Ball,2.19,2.4,1.6,4.85,3.94,9.7,1.15
Lonzo Ball,2019-20,11.83,6.08,6.95,0.6,1.4,NOP,22.0,63,54,2025,0.403,0.375,43,76,0.566,Lonzo Ball,3.06,2.0,2.35,6.27,4.4,10.9,1.13
Lonzo Ball,2020-21,14.58,4.78,5.75,0.56,1.49,NOP,23.0,55,55,1747,0.414,0.378,50,64,0.781,Lonzo Ball,2.24,1.9,3.13,8.27,5.27,12.73,0.6
Lonzo Ball,2021-22,13.0,5.43,5.09,0.89,1.83,CHI,24.0,35,35,1212,0.423,0.423,21,28,0.75,Lonzo Ball,2.34,2.4,3.14,7.43,4.63,10.94,1.0
Lonzo Ball,2024-25,7.63,3.37,3.29,0.49,1.34,CHI,27.0,35,14,777,0.366,0.344,22,27,0.815,Lonzo Ball,1.17,1.6,1.91,5.57,2.54,6.94,0.71
Lonzo Ball,2025-26,5.11,3.89,5.11,0.11,0.89,CLE,28.0,9,1,211,0.308,0.268,3,5,0.6,Lonzo Ball,2.0,1.9,1.22,4.56,1.78,5.78,1.11
