Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Anthony Lamb,2020-21,5.54,2.92,0.96,0.21,0.25,HOU,23.0,24,3,415,0.39,0.324,18,21,0.857,Anthony Lamb,0.79,1.4,0.96,2.96,1.92,4.92,1.12
Anthony Lamb,2021-22,0.0,0.5,1.0,0.0,0.0,SAS,24.0,2,0,8,0.0,0.0,0,0,0.0,Anthony Lamb,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Anthony Lamb,2022-23,6.69,3.47,1.55,0.32,0.45,GSW,25.0,62,4,1195,0.471,0.367,46,60,0.767,Anthony Lamb,0.87,2.2,1.18,3.21,2.39,5.06,0.9
Doron Lamb,2012-13,3.39,0.74,0.87,0.0,0.3,MIL,21.0,23,0,280,0.347,0.25,8,15,0.533,Doron Lamb,0.7,1.2,0.17,0.7,1.43,4.13,0.13
Doron Lamb,2012-13,3.17,1.21,0.5,0.0,0.25,ORL,21.0,24,0,297,0.397,0.476,12,19,0.632,Doron Lamb,0.42,1.0,0.42,0.88,1.12,2.83,0.21
Doron Lamb,2012-13,3.28,0.98,0.68,0.0,0.28,TOT,21.0,47,0,578,0.368,0.378,20,34,0.588,Doron Lamb,0.55,1.1,0.3,0.79,1.28,3.47,0.17
Doron Lamb,2013-14,3.6,0.92,0.81,0.02,0.21,ORL,22.0,53,0,695,0.394,0.4,29,36,0.806,Doron Lamb,0.51,1.0,0.68,1.7,1.19,3.02,0.15
Jeremy Lamb,2012-13,3.09,0.78,0.22,0.09,0.09,OKC,21.0,23,0,147,0.353,0.3,14,14,1.0,Jeremy Lamb,0.26,0.6,0.39,1.3,1.04,2.96,0.22
Jeremy Lamb,2013-14,8.53,2.42,1.47,0.33,0.72,OKC,22.0,78,0,1538,0.432,0.356,51,64,0.797,Jeremy Lamb,0.78,1.8,1.13,3.17,3.37,7.81,0.35
Jeremy Lamb,2014-15,6.28,2.28,0.94,0.13,0.45,OKC,23.0,47,8,633,0.416,0.342,49,55,0.891,Jeremy Lamb,0.57,1.1,0.81,2.36,2.21,5.32,0.17
Jeremy Lamb,2015-16,8.79,3.82,1.17,0.45,0.64,CHA,24.0,66,0,1227,0.451,0.309,64,88,0.727,Jeremy Lamb,0.76,1.6,0.85,2.74,3.48,7.73,0.67
Jeremy Lamb,2016-17,9.73,4.26,1.21,0.37,0.44,CHA,25.0,62,5,1143,0.46,0.281,110,129,0.853,Jeremy Lamb,0.65,1.6,0.66,2.35,3.65,7.92,0.48
Jeremy Lamb,2017-18,12.91,4.05,2.33,0.4,0.76,CHA,26.0,80,18,1967,0.457,0.37,179,208,0.861,Jeremy Lamb,1.16,1.7,1.18,3.18,4.75,10.4,0.61
Jeremy Lamb,2018-19,15.29,5.49,2.18,0.41,1.11,CHA,27.0,79,55,2250,0.44,0.348,231,260,0.888,Jeremy Lamb,1.01,1.8,1.46,4.18,5.46,12.39,0.82
Jeremy Lamb,2019-20,12.54,4.35,2.09,0.48,1.2,IND,28.0,46,42,1291,0.451,0.335,92,110,0.836,Jeremy Lamb,1.09,2.3,1.15,3.43,4.7,10.41,0.52
Jeremy Lamb,2020-21,10.08,3.64,1.47,0.64,0.94,IND,29.0,36,8,765,0.435,0.406,71,75,0.947,Jeremy Lamb,0.61,2.0,1.44,3.56,3.33,7.67,0.69
Jeremy Lamb,2021-22,7.08,2.41,1.31,0.36,0.59,IND,30.0,39,0,613,0.373,0.333,67,80,0.838,Jeremy Lamb,0.62,1.1,1.0,3.0,2.18,5.85,0.38
Jeremy Lamb,2021-22,7.88,3.53,1.76,0.47,0.47,SAC,30.0,17,0,322,0.403,0.302,22,26,0.846,Jeremy Lamb,0.76,0.9,0.94,3.12,2.82,7.0,0.65
Jeremy Lamb,2021-22,7.32,2.75,1.45,0.39,0.55,TOT,30.0,56,0,936,0.383,0.324,89,106,0.84,Jeremy Lamb,0.66,1.1,0.98,3.04,2.38,6.2,0.46
Maciej Lampe,2003-04,4.57,2.1,0.43,0.14,0.14,PHX,19.0,21,0,224,0.489,0.0,10,13,0.769,Maciej Lampe,0.71,1.3,0.0,0.19,2.05,4.19,0.43
Maciej Lampe,2004-05,2.75,2.0,0.06,0.12,0.06,PHX,20.0,16,0,120,0.347,0.667,8,12,0.667,Maciej Lampe,0.62,1.2,0.12,0.19,1.06,3.06,0.56
Maciej Lampe,2004-05,3.38,2.71,0.48,0.24,0.19,NOH,20.0,21,0,261,0.386,0.0,7,10,0.7,Maciej Lampe,0.33,1.5,0.0,0.05,1.52,3.95,0.71
Maciej Lampe,2004-05,3.11,2.41,0.3,0.19,0.14,TOT,20.0,37,0,380,0.371,0.5,15,22,0.682,Maciej Lampe,0.46,1.4,0.05,0.11,1.32,3.57,0.65
Maciej Lampe,2005-06,0.0,2.0,1.0,0.0,0.0,NOK,21.0,2,0,16,0.0,0.0,0,0,0.0,Maciej Lampe,0.5,1.0,0.0,0.0,0.0,2.0,0.5
Maciej Lampe,2005-06,1.0,1.25,0.0,0.0,0.0,HOU,21.0,4,0,12,0.286,0.0,0,2,0.0,Maciej Lampe,0.5,0.0,0.0,0.0,0.5,1.75,0.75
Maciej Lampe,2005-06,0.67,1.5,0.33,0.0,0.0,TOT,21.0,6,0,28,0.182,0.0,0,2,0.0,Maciej Lampe,0.5,0.3,0.0,0.0,0.33,1.83,0.67
Sean Lampley,2002-03,4.83,2.37,0.89,0.09,0.2,MIA,23.0,35,0,487,0.434,0.0,57,82,0.695,Sean Lampley,0.71,1.2,0.0,0.11,1.6,3.69,0.74
Sean Lampley,2003-04,3.4,1.1,0.2,0.1,0.0,GSW,24.0,10,0,62,0.65,0.0,8,12,0.667,Sean Lampley,0.3,0.2,0.0,0.0,1.3,2.0,0.2
Jock Landale,2021-22,4.91,2.56,0.83,0.26,0.19,SAS,26.0,54,1,589,0.495,0.326,34,41,0.829,Jock Landale,0.57,1.0,0.54,1.65,1.87,3.78,1.17
Jock Landale,2022-23,6.61,4.06,0.99,0.43,0.23,PHX,27.0,69,4,979,0.528,0.25,79,105,0.752,Jock Landale,0.86,1.8,0.3,1.22,2.58,4.88,1.72
Jock Landale,2023-24,4.89,3.07,1.16,0.59,0.36,HOU,28.0,56,3,764,0.515,0.25,52,65,0.8,Jock Landale,0.55,1.3,0.18,0.71,1.89,3.68,1.57
Jock Landale,2024-25,4.76,3.26,0.88,0.24,0.31,HOU,29.0,42,3,500,0.533,0.423,27,40,0.675,Jock Landale,0.5,1.2,0.26,0.62,1.93,3.62,1.33
Jock Landale,2025-26,10.91,5.18,1.64,0.45,0.64,MEM,30.0,11,11,272,0.577,0.517,15,21,0.714,Jock Landale,1.09,3.1,1.36,2.64,4.09,7.09,2.36
Carl Landry,2007-08,8.14,4.93,0.5,0.17,0.4,HOU,24.0,42,0,711,0.616,0.0,72,109,0.661,Carl Landry,0.62,2.3,0.0,0.02,3.21,5.21,2.29
Carl Landry,2008-09,9.25,4.97,0.57,0.45,0.38,HOU,25.0,69,0,1467,0.574,0.333,157,193,0.813,Carl Landry,0.99,2.4,0.01,0.04,3.48,6.06,1.8
Carl Landry,2009-10,16.13,5.5,0.77,0.88,0.54,HOU,26.0,52,1,1415,0.547,0.0,235,280,0.839,Carl Landry,1.65,2.8,0.0,0.0,5.81,10.62,2.35
Carl Landry,2009-10,18.0,6.5,0.93,0.61,0.96,SAC,26.0,28,28,1054,0.52,0.333,109,147,0.741,Carl Landry,1.79,3.1,0.04,0.11,7.04,13.54,2.36
Carl Landry,2009-10,16.79,5.85,0.82,0.79,0.69,TOT,26.0,80,29,2469,0.536,0.333,344,427,0.806,Carl Landry,1.7,2.9,0.01,0.04,6.24,11.64,2.35
Carl Landry,2010-11,11.91,4.77,0.94,0.38,0.57,SAC,27.0,53,16,1406,0.492,0.0,155,215,0.721,Carl Landry,1.55,2.4,0.0,0.06,4.49,9.13,2.4
Carl Landry,2010-11,11.83,4.09,0.57,0.52,0.43,NOH,27.0,23,10,602,0.527,0.0,58,73,0.795,Carl Landry,1.17,3.1,0.0,0.04,4.65,8.83,1.65
Carl Landry,2010-11,11.88,4.57,0.83,0.42,0.53,TOT,27.0,76,26,2008,0.502,0.0,213,288,0.74,Carl Landry,1.43,2.6,0.0,0.05,4.54,9.04,2.17
Carl Landry,2011-12,12.46,5.22,0.93,0.29,0.32,NOH,28.0,41,8,999,0.503,0.0,147,184,0.799,Carl Landry,1.56,2.2,0.0,0.07,4.44,8.83,1.9
Carl Landry,2012-13,10.79,5.96,0.8,0.38,0.43,GSW,29.0,81,2,1876,0.54,0.333,223,273,0.817,Carl Landry,1.42,2.3,0.01,0.04,4.01,7.43,2.22
Carl Landry,2013-14,4.22,3.17,0.28,0.06,0.17,SAC,30.0,18,1,233,0.517,0.0,14,17,0.824,Carl Landry,0.5,1.9,0.0,0.0,1.72,3.33,0.83
Carl Landry,2014-15,7.19,3.83,0.37,0.24,0.21,SAC,31.0,70,15,1192,0.515,0.0,123,150,0.82,Carl Landry,0.77,1.9,0.0,0.0,2.71,5.27,1.41
Carl Landry,2015-16,9.75,4.06,0.89,0.25,0.33,PHI,32.0,36,12,569,0.556,0.462,67,91,0.736,Carl Landry,0.61,1.9,0.17,0.36,3.86,6.94,1.36
Trajan Langdon,1999-00,4.9,1.5,1.1,0.0,0.5,CLE,24.0,10,0,145,0.375,0.421,11,11,1.0,Trajan Langdon,0.6,1.6,0.8,1.9,1.5,4.0,0.4
Trajan Langdon,2000-01,5.98,1.37,1.25,0.14,0.58,CLE,25.0,65,5,1116,0.431,0.411,68,76,0.895,Trajan Langdon,0.8,1.8,0.78,1.91,2.08,4.82,0.18
Trajan Langdon,2001-02,4.75,1.25,1.36,0.11,0.3,CLE,26.0,44,0,477,0.398,0.365,42,46,0.913,Trajan Langdon,0.91,1.1,0.61,1.68,1.59,4.0,0.3
Romeo Langford,2019-20,2.47,1.28,0.41,0.25,0.25,BOS,20.0,32,2,370,0.35,0.185,18,25,0.72,Romeo Langford,0.34,1.0,0.16,0.84,0.88,2.5,0.47
Romeo Langford,2020-21,3.11,1.94,0.72,0.28,0.33,BOS,21.0,18,4,283,0.356,0.278,9,12,0.75,Romeo Langford,0.56,1.3,0.28,1.0,1.17,3.28,0.67
Romeo Langford,2021-22,4.7,2.36,0.43,0.36,0.48,BOS,22.0,44,5,728,0.429,0.349,20,34,0.588,Romeo Langford,0.36,1.0,0.66,1.89,1.8,4.18,0.68
Romeo Langford,2021-22,2.75,1.0,0.5,0.0,0.25,SAS,22.0,4,0,43,0.571,0.0,3,8,0.375,Romeo Langford,0.0,0.2,0.0,0.5,1.0,1.75,0.0
Romeo Langford,2021-22,4.54,2.25,0.44,0.33,0.46,TOT,22.0,48,5,771,0.435,0.341,23,42,0.548,Romeo Langford,0.33,1.0,0.6,1.77,1.73,3.98,0.62
Romeo Langford,2022-23,6.91,2.65,1.16,0.3,0.56,SAS,23.0,43,21,844,0.467,0.262,39,56,0.696,Romeo Langford,0.7,1.6,0.37,1.42,2.81,6.02,1.33
Dan Langhi,2000-01,2.73,1.24,0.12,0.03,0.21,HOU,23.0,33,0,241,0.374,0.0,16,29,0.552,Dan Langhi,0.24,0.5,0.0,0.03,1.12,3.0,0.39
Dan Langhi,2001-02,3.15,1.97,0.41,0.15,0.24,HOU,24.0,34,8,433,0.392,0.25,8,11,0.727,Dan Langhi,0.26,0.7,0.03,0.12,1.44,3.68,0.65
Dan Langhi,2002-03,3.05,1.45,0.35,0.1,0.25,PHX,25.0,60,0,541,0.401,0.29,12,20,0.6,Dan Langhi,0.27,1.0,0.15,0.52,1.35,3.37,0.32
Dan Langhi,2003-04,1.5,0.75,0.0,0.0,0.0,GSW,26.0,4,0,16,0.333,0.0,2,2,1.0,Dan Langhi,0.5,1.2,0.0,0.0,0.5,1.5,0.0
Dan Langhi,2003-04,3.5,0.5,0.0,0.0,0.0,MIL,26.0,2,0,20,0.375,0.5,0,0,0.0,Dan Langhi,0.0,1.0,0.5,1.0,1.5,4.0,0.0
Dan Langhi,2003-04,2.17,0.67,0.0,0.0,0.0,TOT,26.0,6,0,36,0.357,0.5,2,2,1.0,Dan Langhi,0.33,1.2,0.17,0.33,0.83,2.33,0.0
Shane Larkin,2013-14,2.75,0.88,1.48,0.02,0.54,DAL,21.0,48,0,489,0.38,0.316,16,25,0.64,Shane Larkin,0.81,1.0,0.25,0.79,1.08,2.85,0.23
Shane Larkin,2014-15,6.18,2.32,2.97,0.12,1.22,NYK,22.0,76,22,1865,0.433,0.302,61,78,0.782,Shane Larkin,1.09,2.0,0.46,1.53,2.46,5.68,0.38
Shane Larkin,2015-16,7.26,2.31,4.38,0.15,1.22,BKN,23.0,78,17,1751,0.442,0.361,83,107,0.776,Shane Larkin,1.87,1.6,0.5,1.38,2.85,6.44,0.36
Shane Larkin,2017-18,4.28,1.7,1.81,0.04,0.54,BOS,25.0,54,2,775,0.384,0.36,32,37,0.865,Shane Larkin,0.61,1.1,0.57,1.59,1.56,4.06,0.28
Pelle Larsson,2024-25,4.56,1.67,1.18,0.13,0.58,MIA,24.0,55,8,782,0.438,0.337,41,61,0.672,Pelle Larsson,0.44,1.7,0.58,1.73,1.62,3.69,0.51
Pelle Larsson,2025-26,9.64,2.64,2.64,0.0,0.55,MIA,24.0,11,8,227,0.565,0.323,18,23,0.783,Pelle Larsson,0.91,1.9,0.91,2.82,3.55,6.27,0.36
Stephane Lasme,2007-08,0.0,0.0,0.0,0.0,0.0,GSW,25.0,1,0,0,0.0,0.0,0,0,0.0,Stephane Lasme,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephane Lasme,2007-08,5.53,3.53,0.2,1.47,0.87,MIA,25.0,15,4,303,0.451,0.0,19,32,0.594,Stephane Lasme,1.0,2.3,0.0,0.0,2.13,4.73,1.73
Stephane Lasme,2007-08,5.19,3.31,0.19,1.38,0.81,TOT,25.0,16,4,303,0.451,0.0,19,32,0.594,Stephane Lasme,0.94,2.2,0.0,0.0,2.0,4.44,1.62
