Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Caleb Swanigan,2017-18,2.26,2.0,0.52,0.11,0.19,POR,21.0,27,3,189,0.4,0.125,12,18,0.667,Caleb Swanigan,0.67,1.4,0.04,0.3,0.89,2.22,0.56
Caleb Swanigan,2018-19,1.94,2.89,0.39,0.0,0.22,POR,22.0,18,0,145,0.318,0.2,6,7,0.857,Caleb Swanigan,0.89,1.2,0.06,0.28,0.78,2.44,0.72
Caleb Swanigan,2018-19,2.67,4.0,1.33,0.33,0.67,SAC,22.0,3,0,33,0.444,0.0,0,2,0.0,Caleb Swanigan,0.67,2.0,0.0,0.67,1.33,3.0,1.33
Caleb Swanigan,2018-19,2.05,3.05,0.52,0.05,0.29,TOT,22.0,21,0,178,0.34,0.143,6,9,0.667,Caleb Swanigan,0.86,1.3,0.05,0.33,0.86,2.52,0.81
Caleb Swanigan,2019-20,0.71,1.0,0.29,0.29,0.14,SAC,23.0,7,0,23,0.5,0.0,1,2,0.5,Caleb Swanigan,0.86,1.1,0.0,0.0,0.29,0.57,0.29
Caleb Swanigan,2019-20,3.0,4.65,1.45,0.25,0.1,POR,23.0,20,1,265,0.605,0.0,8,15,0.533,Caleb Swanigan,1.55,2.7,0.0,0.1,1.3,2.15,1.25
Caleb Swanigan,2019-20,2.41,3.7,1.15,0.26,0.11,TOT,23.0,27,1,288,0.596,0.0,9,17,0.529,Caleb Swanigan,1.37,2.3,0.0,0.07,1.04,1.74,1.0
Michael Sweetney,2003-04,4.29,3.74,0.33,0.29,0.43,NYK,21.0,42,1,495,0.493,0.0,42,58,0.724,Michael Sweetney,0.76,1.4,0.0,0.02,1.64,3.33,1.62
Michael Sweetney,2004-05,8.44,5.43,0.57,0.36,0.35,NYK,22.0,77,28,1509,0.531,0.0,176,235,0.749,Michael Sweetney,1.4,2.9,0.0,0.01,3.08,5.79,2.19
Michael Sweetney,2005-06,8.08,5.3,0.89,0.85,0.29,CHI,23.0,66,44,1222,0.45,0.0,133,204,0.652,Michael Sweetney,1.44,3.2,0.0,0.0,3.03,6.73,1.79
Michael Sweetney,2006-07,3.19,2.5,0.58,0.23,0.19,CHI,24.0,48,0,385,0.433,0.0,37,66,0.561,Michael Sweetney,0.88,1.6,0.0,0.0,1.21,2.79,0.94
Cole Swider,2022-23,1.29,1.0,0.57,0.0,0.0,LAL,24.0,7,0,41,0.333,0.375,0,0,0.0,Cole Swider,0.0,0.4,0.43,1.14,0.43,1.29,0.14
Cole Swider,2023-24,2.33,0.39,0.28,0.06,0.06,MIA,25.0,18,0,87,0.395,0.333,2,2,1.0,Cole Swider,0.44,0.2,0.56,1.67,0.83,2.11,0.06
Cole Swider,2024-25,0.0,1.0,0.5,0.0,0.0,DET,26.0,2,0,13,0.0,0.0,0,0,0.0,Cole Swider,0.0,0.5,0.0,2.5,0.0,2.5,0.0
Cole Swider,2024-25,7.38,3.12,0.25,0.25,0.5,TOR,26.0,8,0,156,0.379,0.357,0,1,0.0,Cole Swider,0.5,1.4,1.88,5.25,2.75,7.25,0.62
Cole Swider,2024-25,5.9,2.7,0.3,0.2,0.4,TOT,26.0,10,0,170,0.349,0.319,0,1,0.0,Cole Swider,0.4,1.2,1.5,4.7,2.2,6.3,0.5
Robert Swift,2004-05,0.94,0.31,0.12,0.44,0.06,SEA,19.0,16,0,71,0.455,0.0,5,9,0.556,Robert Swift,0.25,1.0,0.0,0.0,0.31,0.69,0.06
Robert Swift,2005-06,6.4,5.62,0.17,1.19,0.32,SEA,20.0,47,20,987,0.515,0.0,53,91,0.582,Robert Swift,1.04,3.0,0.0,0.0,2.64,5.13,2.0
Robert Swift,2007-08,1.75,2.25,0.12,0.75,0.62,SEA,22.0,8,4,98,0.353,0.0,2,2,1.0,Robert Swift,1.25,2.0,0.0,0.0,0.75,2.12,0.75
Robert Swift,2008-09,3.31,3.42,0.35,0.65,0.19,OKC,23.0,26,10,343,0.521,0.0,12,16,0.75,Robert Swift,0.31,1.9,0.0,0.0,1.42,2.73,0.81
Stromile Swift,2000-01,4.89,3.55,0.35,1.02,0.78,VAN,21.0,80,6,1312,0.451,0.0,85,141,0.603,Stromile Swift,0.8,2.0,0.0,0.05,1.91,4.24,1.36
Stromile Swift,2001-02,11.81,6.32,0.74,1.66,0.78,MEM,22.0,68,14,1805,0.48,0.0,217,305,0.711,Stromile Swift,1.79,2.6,0.0,0.04,4.31,8.99,2.37
Stromile Swift,2002-03,9.66,5.73,0.67,1.55,0.82,MEM,23.0,67,26,1478,0.481,0.0,177,245,0.722,Stromile Swift,1.48,2.3,0.0,0.03,3.51,7.3,1.7
Stromile Swift,2003-04,9.44,4.91,0.49,1.53,0.73,MEM,24.0,77,10,1528,0.469,0.25,190,262,0.725,Stromile Swift,1.14,2.4,0.01,0.05,3.48,7.42,1.83
Stromile Swift,2004-05,10.07,4.55,0.72,1.53,0.68,MEM,25.0,60,14,1279,0.449,0.0,166,219,0.758,Stromile Swift,1.5,3.0,0.0,0.07,3.65,8.13,1.53
Stromile Swift,2005-06,8.88,4.41,0.38,0.76,0.58,HOU,26.0,66,5,1344,0.491,0.0,136,209,0.651,Stromile Swift,1.38,3.0,0.0,0.03,3.41,6.94,1.56
Stromile Swift,2006-07,7.76,4.63,0.31,1.15,0.56,MEM,27.0,54,18,1029,0.465,0.0,97,134,0.724,Stromile Swift,1.28,2.7,0.0,0.09,2.98,6.41,1.57
Stromile Swift,2007-08,6.8,3.69,0.63,1.03,0.29,MEM,28.0,35,4,549,0.525,0.0,52,81,0.642,Stromile Swift,1.11,2.1,0.0,0.06,2.66,5.06,1.31
Stromile Swift,2007-08,5.0,3.33,0.19,0.86,0.24,NJN,28.0,21,0,295,0.477,0.0,21,28,0.75,Stromile Swift,0.57,1.9,0.0,0.0,2.0,4.19,0.86
Stromile Swift,2007-08,6.12,3.55,0.46,0.96,0.27,TOT,28.0,56,4,845,0.509,0.0,73,109,0.67,Stromile Swift,0.91,2.0,0.0,0.04,2.41,4.73,1.14
Stromile Swift,2008-09,3.83,2.17,0.17,0.33,0.0,NJN,29.0,6,0,64,0.6,0.0,5,11,0.455,Stromile Swift,1.17,2.5,0.0,0.0,1.5,2.5,0.83
Stromile Swift,2008-09,3.0,2.54,0.15,0.46,0.31,PHX,29.0,13,0,121,0.366,1.0,8,15,0.533,Stromile Swift,0.69,1.9,0.08,0.08,1.15,3.15,0.85
Stromile Swift,2008-09,3.26,2.42,0.16,0.42,0.21,TOT,29.0,19,0,184,0.429,1.0,13,26,0.5,Stromile Swift,0.84,2.1,0.05,0.05,1.26,2.95,0.84
Pape Sy,2010-11,2.33,1.0,0.67,0.0,0.33,ATL,23.0,3,0,21,0.333,0.0,3,3,1.0,Pape Sy,1.0,0.3,0.0,0.33,0.67,2.0,0.67
Wally Szczerbiak,1999-00,11.58,3.73,2.75,0.32,0.79,MIN,23.0,73,53,2171,0.511,0.359,133,161,0.826,Wally Szczerbiak,1.14,2.4,0.38,1.07,4.68,9.16,1.22
Wally Szczerbiak,2000-01,13.96,5.45,3.17,0.4,0.72,MIN,24.0,82,82,2856,0.51,0.338,181,208,0.87,Wally Szczerbiak,1.68,2.8,0.32,0.94,5.72,11.22,1.62
Wally Szczerbiak,2001-02,18.67,4.77,3.13,0.26,0.8,MIN,25.0,82,82,3121,0.507,0.455,226,272,0.831,Wally Szczerbiak,2.21,2.3,1.06,2.33,7.43,14.63,1.46
Wally Szczerbiak,2002-03,17.56,4.63,2.62,0.42,0.85,MIN,26.0,52,42,1836,0.481,0.421,150,173,0.867,Wally Szczerbiak,1.67,2.4,1.17,2.79,6.75,14.02,1.02
Wally Szczerbiak,2003-04,10.18,3.14,1.18,0.04,0.43,MIN,27.0,28,0,622,0.449,0.435,53,64,0.828,Wally Szczerbiak,1.0,1.5,0.71,1.64,3.79,8.43,0.86
Wally Szczerbiak,2004-05,15.47,3.74,2.36,0.2,0.49,MIN,28.0,81,37,2560,0.506,0.373,260,304,0.855,Wally Szczerbiak,1.63,2.2,0.78,2.09,5.74,11.35,1.01
Wally Szczerbiak,2005-06,20.12,4.75,2.8,0.38,0.52,MIN,29.0,40,40,1555,0.495,0.406,163,182,0.896,Wally Szczerbiak,2.15,2.2,1.45,3.58,7.3,14.75,0.9
Wally Szczerbiak,2005-06,17.53,3.84,3.16,0.12,0.59,BOS,29.0,32,31,1174,0.476,0.393,115,128,0.898,Wally Szczerbiak,1.56,1.9,1.38,3.5,6.28,13.19,1.28
Wally Szczerbiak,2005-06,18.97,4.35,2.96,0.26,0.56,TOT,29.0,72,71,2729,0.487,0.4,278,310,0.897,Wally Szczerbiak,1.89,2.1,1.42,3.54,6.85,14.06,1.07
Wally Szczerbiak,2006-07,14.97,3.06,1.72,0.09,0.56,BOS,30.0,32,19,900,0.415,0.415,113,126,0.897,Wally Szczerbiak,1.69,2.0,1.38,3.31,5.03,12.12,0.5
Wally Szczerbiak,2007-08,13.12,2.72,1.38,0.1,0.28,SEA,31.0,50,1,1180,0.46,0.428,113,134,0.843,Wally Szczerbiak,1.12,1.3,1.42,3.32,4.72,10.26,0.32
Wally Szczerbiak,2007-08,8.2,3.24,1.4,0.28,0.36,CLE,31.0,25,1,556,0.359,0.365,36,41,0.878,Wally Szczerbiak,0.8,1.4,0.76,2.08,3.0,8.36,0.72
Wally Szczerbiak,2007-08,11.48,2.89,1.39,0.16,0.31,TOT,31.0,75,2,1737,0.431,0.413,149,175,0.851,Wally Szczerbiak,1.01,1.4,1.2,2.91,4.15,9.63,0.45
Wally Szczerbiak,2008-09,6.99,3.14,1.11,0.14,0.38,CLE,32.0,74,5,1527,0.45,0.411,90,106,0.849,Wally Szczerbiak,0.74,1.8,0.93,2.27,2.42,5.38,0.58
Chris Taft,2005-06,2.76,2.12,0.12,0.41,0.12,GSW,21.0,17,0,144,0.605,0.0,1,6,0.167,Chris Taft,0.12,1.5,0.0,0.0,1.35,2.24,1.12
Dragan Tarlac,2000-01,2.4,2.84,0.72,0.44,0.16,CHI,28.0,43,12,598,0.394,0.0,25,33,0.758,Dragan Tarlac,0.88,2.2,0.0,0.0,0.91,2.3,0.86
Jae'Sean Tate,2020-21,11.34,5.34,2.54,0.51,1.21,HOU,25.0,70,58,2043,0.506,0.308,102,147,0.694,Jae'Sean Tate,1.4,3.2,0.86,2.79,4.51,8.93,1.89
