Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Alex Ducas,2024-25,1.71,1.24,0.24,0.0,0.24,OKC,24.0,21,0,125,0.4,0.476,2,2,1.0,Alex Ducas,0.19,0.6,0.48,1.0,0.57,1.43,0.43
Jared Dudley,2007-08,5.78,3.92,1.11,0.14,0.75,CHA,22.0,73,14,1384,0.468,0.22,87,118,0.737,Jared Dudley,0.68,1.8,0.12,0.56,2.23,4.77,1.66
Jared Dudley,2008-09,5.4,2.95,0.95,0.1,0.9,CHA,23.0,20,7,427,0.469,0.375,15,24,0.625,Jared Dudley,0.5,2.0,0.15,0.4,2.25,4.8,1.25
Jared Dudley,2008-09,5.5,3.04,0.77,0.12,0.81,PHX,23.0,48,0,728,0.481,0.394,56,81,0.691,Jared Dudley,0.69,1.4,0.54,1.38,1.9,3.94,1.19
Jared Dudley,2008-09,5.47,3.01,0.82,0.12,0.84,TOT,23.0,68,7,1156,0.477,0.392,71,105,0.676,Jared Dudley,0.63,1.5,0.43,1.09,2.0,4.19,1.21
Jared Dudley,2009-10,8.22,3.43,1.4,0.2,0.99,PHX,24.0,82,1,1991,0.459,0.458,104,138,0.754,Jared Dudley,0.83,2.0,1.46,3.2,2.74,5.98,1.21
Jared Dudley,2010-11,10.57,3.88,1.32,0.24,1.06,PHX,25.0,82,15,2140,0.477,0.415,162,218,0.743,Jared Dudley,0.94,1.7,1.28,3.09,3.66,7.67,1.35
Jared Dudley,2011-12,12.66,4.63,1.72,0.29,0.75,PHX,26.0,65,60,2020,0.485,0.383,119,164,0.726,Jared Dudley,1.11,1.6,1.23,3.22,4.8,9.89,1.46
Jared Dudley,2012-13,10.9,3.1,2.57,0.1,0.95,PHX,27.0,79,50,2170,0.468,0.391,129,162,0.796,Jared Dudley,1.28,1.6,1.34,3.43,3.96,8.47,1.0
Jared Dudley,2013-14,6.91,2.16,1.41,0.14,0.55,LAC,28.0,74,43,1729,0.438,0.36,38,58,0.655,Jared Dudley,0.76,2.0,1.09,3.04,2.65,6.04,0.49
Jared Dudley,2014-15,7.19,3.06,1.81,0.15,1.0,MIL,29.0,72,22,1717,0.468,0.385,48,67,0.716,Jared Dudley,0.86,1.6,1.03,2.67,2.75,5.88,0.62
Jared Dudley,2015-16,7.88,3.53,2.11,0.22,0.93,WAS,30.0,81,41,2098,0.478,0.42,72,98,0.735,Jared Dudley,0.99,2.3,1.23,2.94,2.88,6.01,0.67
Jared Dudley,2016-17,6.78,3.52,1.89,0.25,0.66,PHX,31.0,64,7,1362,0.454,0.379,43,65,0.662,Jared Dudley,1.14,2.4,1.2,3.17,2.45,5.41,0.48
Jared Dudley,2017-18,3.17,1.96,1.62,0.23,0.5,PHX,32.0,48,0,687,0.393,0.363,27,35,0.771,Jared Dudley,0.58,1.8,0.6,1.67,1.0,2.54,0.17
Jared Dudley,2018-19,4.86,2.63,1.41,0.27,0.61,BKN,33.0,59,25,1220,0.423,0.351,32,46,0.696,Jared Dudley,0.73,2.2,0.9,2.56,1.71,4.05,0.58
Jared Dudley,2019-20,1.51,1.16,0.62,0.07,0.33,LAL,34.0,45,1,364,0.4,0.429,2,2,1.0,Jared Dudley,0.18,0.9,0.4,0.93,0.53,1.33,0.13
