Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Efthimios Rentzias,2002-03,1.49,0.74,0.2,0.06,0.17,PHI,27.0,35,0,144,0.339,0.5,8,9,0.889,Efthimios Rentzias,0.11,0.6,0.11,0.23,0.57,1.69,0.29
Cam Reynolds,2018-19,5.0,1.63,0.68,0.11,0.32,MIN,24.0,19,0,259,0.423,0.412,8,9,0.889,Cam Reynolds,0.26,1.4,1.11,2.68,1.74,4.11,0.21
Cam Reynolds,2020-21,0.67,0.0,0.0,0.0,0.0,SAS,26.0,3,0,6,0.5,0.0,0,0,0.0,Cam Reynolds,0.0,0.0,0.0,0.0,0.33,0.67,0.0
Cam Reynolds,2020-21,6.5,2.5,1.0,0.0,0.0,HOU,26.0,2,0,34,0.313,0.25,0,0,0.0,Cam Reynolds,0.0,1.0,1.5,6.0,2.5,8.0,1.0
Cam Reynolds,2020-21,3.0,1.0,0.4,0.0,0.0,TOT,26.0,5,0,40,0.333,0.25,0,0,0.0,Cam Reynolds,0.0,0.4,0.6,2.4,1.2,3.6,0.4
Jared Rhoden,2022-23,3.21,2.64,0.29,0.07,0.29,DET,23.0,14,0,198,0.386,0.25,6,6,1.0,Jared Rhoden,0.21,1.6,0.36,1.43,1.21,3.14,0.79
Jared Rhoden,2023-24,4.88,1.94,0.82,0.76,0.18,DET,24.0,17,0,245,0.5,0.387,5,8,0.625,Jared Rhoden,0.41,1.6,0.71,1.82,1.94,3.88,0.18
Jared Rhoden,2024-25,1.0,1.0,0.5,0.0,0.25,CHA,25.0,4,0,12,0.25,0.0,0,0,0.0,Jared Rhoden,0.25,0.2,0.0,0.5,0.5,2.0,0.5
Jared Rhoden,2024-25,11.4,3.8,1.4,0.2,0.9,TOR,25.0,10,2,215,0.506,0.324,22,25,0.88,Jared Rhoden,0.8,1.9,1.2,3.7,4.0,7.9,1.2
Jared Rhoden,2024-25,8.43,3.0,1.14,0.14,0.71,TOT,25.0,14,2,226,0.483,0.308,22,25,0.88,Jared Rhoden,0.64,1.4,0.86,2.79,3.0,6.21,1.0
Glen Rice,2013-14,2.91,1.82,0.64,0.09,0.55,WAS,23.0,11,1,109,0.297,0.294,5,7,0.714,Glen Rice,0.82,0.6,0.45,1.55,1.0,3.36,0.36
Glen Rice,2014-15,2.2,0.8,0.4,0.0,0.0,WAS,24.0,5,0,43,0.2,0.143,4,6,0.667,Glen Rice,0.4,2.2,0.2,1.4,0.6,3.0,0.4
Chris Richard,2007-08,1.88,2.6,0.35,0.23,0.19,MIN,23.0,52,3,556,0.471,0.0,16,27,0.593,Chris Richard,0.46,1.6,0.0,0.0,0.79,1.67,1.0
Chris Richard,2009-10,2.06,3.28,0.39,0.22,0.44,CHI,25.0,18,0,224,0.517,0.0,7,11,0.636,Chris Richard,0.78,2.8,0.0,0.0,0.83,1.61,1.06
Nick Richards,2020-21,0.83,0.61,0.11,0.0,0.0,CHA,23.0,18,0,63,0.444,0.0,7,11,0.636,Nick Richards,0.17,0.4,0.0,0.06,0.22,0.5,0.22
Nick Richards,2021-22,3.0,1.72,0.26,0.42,0.18,CHA,24.0,50,5,367,0.667,0.0,30,43,0.698,Nick Richards,0.48,1.0,0.0,0.0,1.2,1.8,0.68
Nick Richards,2022-23,8.18,6.4,0.58,1.09,0.17,CHA,25.0,65,9,1218,0.629,1.0,137,183,0.749,Nick Richards,0.91,2.4,0.02,0.02,3.03,4.82,2.26
Nick Richards,2023-24,9.73,8.04,0.81,1.1,0.39,CHA,26.0,67,51,1759,0.691,0.0,132,179,0.737,Nick Richards,1.09,2.6,0.0,0.01,3.88,5.61,2.57
Nick Richards,2024-25,8.9,7.52,1.33,1.24,0.33,CHA,27.0,21,9,440,0.561,0.0,59,87,0.678,Nick Richards,1.57,2.3,0.0,0.05,3.05,5.43,2.43
Nick Richards,2024-25,9.5,8.56,0.58,0.81,0.19,PHX,27.0,36,34,816,0.605,0.0,60,73,0.822,Nick Richards,1.33,2.6,0.0,0.03,3.92,6.47,2.69
Nick Richards,2024-25,9.28,8.18,0.86,0.96,0.25,TOT,27.0,57,43,1256,0.591,0.0,119,160,0.744,Nick Richards,1.42,2.5,0.0,0.04,3.6,6.09,2.6
Nick Richards,2025-26,4.09,3.27,0.36,0.45,0.18,PHX,27.0,11,0,106,0.552,0.0,13,15,0.867,Nick Richards,0.91,1.4,0.0,0.0,1.45,2.64,1.18
Jason Richardson,2001-02,14.39,4.25,2.95,0.39,1.32,GSW,21.0,80,75,2628,0.426,0.333,141,210,0.671,Jason Richardson,2.0,2.4,1.02,3.08,5.8,13.62,1.55
Jason Richardson,2002-03,15.63,4.61,3.01,0.28,1.1,GSW,22.0,82,82,2698,0.41,0.368,207,271,0.764,Jason Richardson,2.18,2.5,1.5,4.07,5.8,14.16,1.35
Jason Richardson,2003-04,18.73,6.72,2.9,0.53,1.1,GSW,23.0,78,78,2938,0.438,0.282,258,377,0.684,Jason Richardson,2.51,2.3,0.99,3.5,7.22,16.46,1.59
Jason Richardson,2004-05,21.65,5.89,3.9,0.44,1.46,GSW,24.0,72,72,2725,0.446,0.338,214,309,0.693,Jason Richardson,2.35,2.2,1.74,5.14,8.47,19.0,1.74
Jason Richardson,2005-06,23.21,5.84,3.09,0.49,1.29,GSW,25.0,75,75,2877,0.446,0.384,276,410,0.673,Jason Richardson,2.23,2.7,2.44,6.36,8.55,19.17,1.4
Jason Richardson,2006-07,15.96,5.08,3.37,0.63,1.06,GSW,26.0,51,49,1675,0.417,0.365,92,140,0.657,Jason Richardson,1.61,2.5,2.16,5.9,6.0,14.39,1.39
Jason Richardson,2007-08,21.8,5.38,3.15,0.7,1.41,CHA,27.0,82,82,3149,0.441,0.406,249,331,0.752,Jason Richardson,2.02,2.9,2.96,7.3,7.9,17.9,0.98
Jason Richardson,2008-09,18.71,4.14,2.57,0.21,1.0,CHA,28.0,14,14,491,0.441,0.458,41,55,0.745,Jason Richardson,1.71,3.1,1.93,4.21,6.93,15.71,0.93
Jason Richardson,2008-09,16.38,4.5,1.9,0.43,1.07,PHX,28.0,58,57,1919,0.488,0.383,112,144,0.778,Jason Richardson,1.22,1.8,1.76,4.59,6.34,13.0,1.1
Jason Richardson,2008-09,16.83,4.43,2.03,0.39,1.06,TOT,28.0,72,71,2410,0.477,0.397,153,199,0.769,Jason Richardson,1.32,2.0,1.79,4.51,6.46,13.53,1.07
Jason Richardson,2009-10,15.68,5.11,1.81,0.42,0.84,PHX,29.0,79,76,2485,0.474,0.393,136,184,0.739,Jason Richardson,1.16,2.1,1.99,5.06,5.99,12.63,1.03
Jason Richardson,2010-11,19.32,4.44,1.44,0.12,1.08,PHX,30.0,25,25,796,0.47,0.419,55,72,0.764,Jason Richardson,1.2,1.8,2.48,5.92,7.32,15.56,1.32
Jason Richardson,2010-11,13.93,4.0,2.02,0.18,1.2,ORL,30.0,55,55,1919,0.433,0.384,61,87,0.701,Jason Richardson,1.18,2.1,2.31,6.02,5.25,12.13,0.62
Jason Richardson,2010-11,15.61,4.14,1.84,0.16,1.16,TOT,30.0,80,80,2715,0.447,0.395,116,159,0.73,Jason Richardson,1.19,2.0,2.36,5.99,5.9,13.2,0.84
Jason Richardson,2011-12,11.65,3.59,1.98,0.41,0.98,ORL,31.0,54,54,1591,0.408,0.368,41,69,0.594,Jason Richardson,1.11,1.7,1.89,5.13,4.5,11.04,0.67
Jason Richardson,2012-13,10.52,3.85,1.55,0.45,1.21,PHI,32.0,33,33,936,0.402,0.341,20,33,0.606,Jason Richardson,0.79,1.7,1.73,5.06,4.09,10.18,0.58
Jason Richardson,2014-15,9.05,3.47,2.0,0.16,0.68,PHI,34.0,19,15,416,0.348,0.323,17,22,0.773,Jason Richardson,0.84,1.5,1.63,5.05,3.26,9.37,0.68
Jeremy Richardson,2006-07,1.6,0.4,0.0,0.0,0.2,ATL,23.0,5,0,19,0.5,0.667,0,0,0.0,Jeremy Richardson,0.2,0.4,0.4,0.6,0.6,1.2,0.2
