Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Alex Abrines,2016-17,5.97,1.26,0.59,0.12,0.54,OKC,23.0,68,6,1055,0.393,0.381,44,49,0.898,Alex Abrines,0.49,1.7,1.38,3.63,1.97,5.01,0.26
Alex Abrines,2017-18,4.71,1.52,0.37,0.11,0.51,OKC,24.0,75,8,1134,0.395,0.38,39,46,0.848,Alex Abrines,0.33,1.7,1.12,2.95,1.53,3.88,0.35
Alex Abrines,2018-19,5.32,1.55,0.65,0.19,0.55,OKC,25.0,31,2,588,0.357,0.323,12,13,0.923,Alex Abrines,0.45,1.7,1.32,4.1,1.81,5.06,0.16
Precious Achiuwa,2020-21,4.98,3.41,0.48,0.46,0.33,MIA,21.0,61,4,737,0.544,0.0,56,110,0.509,Precious Achiuwa,0.7,1.5,0.0,0.02,2.03,3.74,1.2
Precious Achiuwa,2021-22,9.1,6.48,1.12,0.56,0.51,TOR,22.0,73,28,1725,0.439,0.359,78,131,0.595,Precious Achiuwa,1.15,2.1,0.77,2.14,3.63,8.26,2.0
Precious Achiuwa,2022-23,9.24,5.96,0.91,0.55,0.56,TOR,23.0,55,12,1141,0.485,0.269,87,124,0.702,Precious Achiuwa,1.07,1.9,0.53,1.96,3.56,7.35,1.82
Precious Achiuwa,2023-24,7.72,5.44,1.76,0.48,0.64,TOR,24.0,25,0,437,0.459,0.277,24,42,0.571,Precious Achiuwa,1.16,1.6,0.52,1.88,3.12,6.8,2.0
Precious Achiuwa,2023-24,7.59,7.16,1.08,1.14,0.61,NYK,24.0,49,18,1187,0.525,0.26,45,70,0.643,Precious Achiuwa,1.1,2.1,0.27,1.02,3.2,6.1,2.88
Precious Achiuwa,2023-24,7.64,6.58,1.31,0.92,0.62,TOT,24.0,74,18,1624,0.501,0.268,69,112,0.616,Precious Achiuwa,1.12,1.9,0.35,1.31,3.18,6.34,2.58
Precious Achiuwa,2024-25,6.65,5.56,0.96,0.74,0.82,NYK,25.0,57,10,1170,0.502,0.278,41,69,0.594,Precious Achiuwa,0.79,1.4,0.18,0.63,2.88,5.74,1.77
Precious Achiuwa,2025-26,6.67,5.67,0.0,0.67,0.33,SAC,26.0,3,1,55,0.571,0.0,4,6,0.667,Precious Achiuwa,0.67,1.0,0.0,1.0,2.67,4.67,1.67
Alex Acker,2005-06,1.8,1.0,0.8,0.0,0.2,DET,23.0,5,0,35,0.25,0.2,0,0,0.0,Alex Acker,0.8,0.8,0.2,1.0,0.8,3.2,0.2
Alex Acker,2008-09,1.29,0.29,0.14,0.14,0.29,DET,26.0,7,0,20,0.364,0.0,1,2,0.5,Alex Acker,0.0,0.0,0.0,0.57,0.57,1.57,0.0
Alex Acker,2008-09,3.5,1.22,0.61,0.17,0.17,LAC,26.0,18,0,179,0.4,0.438,4,8,0.5,Alex Acker,0.39,0.5,0.39,0.89,1.44,3.61,0.44
Alex Acker,2008-09,2.88,0.96,0.48,0.16,0.2,TOT,26.0,25,0,200,0.395,0.35,5,10,0.5,Alex Acker,0.28,0.4,0.28,0.8,1.2,3.04,0.32
Quincy Acy,2012-13,4.0,2.66,0.38,0.52,0.45,TOR,22.0,29,0,342,0.56,0.5,31,38,0.816,Quincy Acy,0.59,1.8,0.03,0.07,1.45,2.59,1.03
Quincy Acy,2013-14,2.71,2.14,0.57,0.43,0.57,TOR,23.0,7,0,61,0.429,0.4,5,8,0.625,Quincy Acy,0.29,1.1,0.29,0.71,0.86,2.0,0.71
Quincy Acy,2013-14,2.71,3.59,0.43,0.41,0.34,SAC,23.0,56,0,786,0.472,0.2,30,45,0.667,Quincy Acy,0.5,2.0,0.04,0.18,1.07,2.27,1.2
Quincy Acy,2013-14,2.71,3.43,0.44,0.41,0.37,TOT,23.0,63,0,848,0.468,0.267,35,53,0.66,Quincy Acy,0.48,1.9,0.06,0.24,1.05,2.24,1.14
Quincy Acy,2014-15,5.85,4.43,1.0,0.32,0.4,NYK,24.0,68,22,1287,0.459,0.3,76,97,0.784,Quincy Acy,0.88,2.2,0.26,0.88,2.24,4.87,1.16
Quincy Acy,2015-16,5.2,3.19,0.46,0.41,0.49,SAC,25.0,59,29,876,0.556,0.388,50,68,0.735,Quincy Acy,0.46,1.7,0.32,0.83,2.02,3.63,1.1
Quincy Acy,2016-17,2.17,1.33,0.0,0.0,0.0,DAL,26.0,6,0,48,0.294,0.143,2,3,0.667,Quincy Acy,0.33,1.5,0.17,1.17,0.83,2.83,0.33
Quincy Acy,2016-17,6.53,3.34,0.56,0.47,0.44,BKN,26.0,32,1,510,0.425,0.434,43,57,0.754,Quincy Acy,0.59,1.8,1.12,2.59,2.03,4.78,0.56
Quincy Acy,2016-17,5.84,3.03,0.47,0.39,0.37,TOT,26.0,38,1,558,0.412,0.411,45,60,0.75,Quincy Acy,0.55,1.8,0.97,2.37,1.84,4.47,0.53
Quincy Acy,2017-18,5.87,3.67,0.81,0.41,0.47,BKN,27.0,70,8,1359,0.356,0.349,49,60,0.817,Quincy Acy,0.86,2.1,1.46,4.17,1.86,5.21,0.57
Quincy Acy,2018-19,1.7,2.5,0.8,0.4,0.1,PHX,28.0,10,0,123,0.222,0.133,7,10,0.7,Quincy Acy,0.4,2.4,0.2,1.5,0.4,1.8,0.3
Hassan Adams,2006-07,2.85,1.26,0.21,0.07,0.28,NJN,23.0,61,8,495,0.556,0.0,24,36,0.667,Hassan Adams,0.36,0.8,0.0,0.02,1.23,2.21,0.57
Hassan Adams,2008-09,0.92,0.58,0.08,0.08,0.08,TOR,25.0,12,0,52,0.308,0.0,3,6,0.5,Hassan Adams,0.33,0.3,0.0,0.0,0.33,1.08,0.08
