Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Dorian Finney-Smith,2016-17,4.32,2.74,0.83,0.31,0.64,DAL,24.0,81,35,1642,0.372,0.293,46,61,0.754,Dorian Finney-Smith,0.56,1.5,0.69,2.36,1.53,4.11,0.68
Dorian Finney-Smith,2017-18,5.86,3.57,1.24,0.19,0.48,DAL,25.0,21,13,448,0.38,0.299,11,15,0.733,Dorian Finney-Smith,1.0,2.0,0.95,3.19,2.19,5.76,1.05
Dorian Finney-Smith,2018-19,7.51,4.8,1.17,0.44,0.85,DAL,26.0,81,26,1985,0.432,0.311,73,103,0.709,Dorian Finney-Smith,0.91,2.3,0.98,3.14,2.81,6.52,1.7
Dorian Finney-Smith,2019-20,9.55,5.7,1.61,0.55,0.63,DAL,27.0,71,68,2120,0.466,0.376,78,108,0.722,Dorian Finney-Smith,0.97,2.5,1.61,4.27,3.42,7.35,2.04
Dorian Finney-Smith,2020-21,9.83,5.43,1.7,0.42,0.87,DAL,28.0,60,60,1921,0.472,0.394,31,41,0.756,Dorian Finney-Smith,0.8,2.3,1.98,5.03,3.67,7.77,1.63
Dorian Finney-Smith,2021-22,11.0,4.69,1.88,0.49,1.1,DAL,29.0,80,80,2644,0.471,0.395,56,83,0.675,Dorian Finney-Smith,1.0,2.3,2.15,5.44,4.08,8.65,1.52
Dorian Finney-Smith,2022-23,9.12,4.7,1.48,0.5,0.95,DAL,30.0,40,40,1288,0.416,0.355,30,40,0.75,Dorian Finney-Smith,0.9,2.0,1.92,5.42,3.22,7.75,1.68
Dorian Finney-Smith,2022-23,7.15,4.92,1.58,0.62,0.65,BKN,30.0,26,26,721,0.351,0.306,15,19,0.789,Dorian Finney-Smith,1.0,2.5,1.42,4.65,2.58,7.35,1.81
Dorian Finney-Smith,2022-23,8.35,4.79,1.52,0.55,0.83,TOT,30.0,66,66,2009,0.391,0.337,45,59,0.763,Dorian Finney-Smith,0.94,2.2,1.73,5.12,2.97,7.59,1.73
Dorian Finney-Smith,2023-24,8.53,4.66,1.57,0.56,0.82,BKN,31.0,68,56,1935,0.421,0.348,33,46,0.717,Dorian Finney-Smith,0.87,2.2,1.72,4.94,3.16,7.51,1.6
Dorian Finney-Smith,2024-25,10.4,4.55,1.55,0.6,0.9,BKN,32.0,20,20,579,0.459,0.435,15,24,0.625,Dorian Finney-Smith,0.9,2.7,2.35,5.4,3.65,7.95,1.55
Dorian Finney-Smith,2024-25,7.93,3.63,1.37,0.26,0.93,LAL,32.0,43,20,1239,0.442,0.398,15,21,0.714,Dorian Finney-Smith,0.88,1.9,1.91,4.79,2.84,6.42,1.14
Dorian Finney-Smith,2024-25,8.71,3.92,1.43,0.37,0.92,TOT,32.0,63,40,1819,0.448,0.411,30,45,0.667,Dorian Finney-Smith,0.89,2.2,2.05,4.98,3.1,6.9,1.27
Malik Fitts,2020-21,1.0,1.0,0.0,0.0,0.0,LAC,23.0,3,0,11,0.333,0.5,0,0,0.0,Malik Fitts,0.0,1.0,0.33,0.67,0.33,1.0,0.0
Malik Fitts,2021-22,0.86,1.43,0.0,0.0,0.0,UTA,24.0,7,0,35,0.222,0.5,0,0,0.0,Malik Fitts,0.29,0.4,0.29,0.57,0.29,1.29,0.0
Malik Fitts,2021-22,1.88,0.88,0.62,0.0,0.0,BOS,24.0,8,0,28,0.6,0.5,0,0,0.0,Malik Fitts,0.0,0.1,0.38,0.75,0.75,1.25,0.25
Malik Fitts,2021-22,1.4,1.13,0.33,0.0,0.0,TOT,24.0,15,0,63,0.421,0.5,0,0,0.0,Malik Fitts,0.13,0.3,0.33,0.67,0.53,1.27,0.13
Marcus Fizer,2000-01,9.49,4.35,1.06,0.26,0.42,CHI,22.0,72,13,1580,0.43,0.256,117,161,0.727,Marcus Fizer,1.72,2.4,0.14,0.54,3.86,8.97,1.06
