Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Thomas Bryant,2017-18,1.47,1.13,0.4,0.13,0.07,LAL,20.0,15,0,72,0.381,0.1,5,9,0.556,Thomas Bryant,0.13,0.4,0.07,0.67,0.53,1.4,0.2
Thomas Bryant,2018-19,10.53,6.31,1.28,0.93,0.35,WAS,21.0,72,53,1496,0.616,0.333,107,137,0.781,Thomas Bryant,0.83,1.8,0.46,1.38,4.29,6.97,1.57
Thomas Bryant,2019-20,13.24,7.2,1.8,1.07,0.54,WAS,22.0,46,36,1147,0.581,0.407,86,116,0.741,Thomas Bryant,1.15,2.2,0.8,1.98,5.28,9.09,2.13
Thomas Bryant,2020-21,14.3,6.1,1.5,0.8,0.4,WAS,23.0,10,10,271,0.648,0.429,16,24,0.667,Thomas Bryant,1.1,3.1,0.9,2.1,5.9,9.1,1.8
Thomas Bryant,2021-22,7.44,4.0,0.85,0.78,0.22,WAS,24.0,27,9,439,0.52,0.286,35,40,0.875,Thomas Bryant,0.7,1.6,0.44,1.56,2.85,5.48,0.96
Thomas Bryant,2022-23,12.1,6.8,0.71,0.56,0.34,LAL,25.0,41,25,876,0.654,0.44,80,108,0.741,Thomas Bryant,0.68,1.9,0.54,1.22,4.8,7.34,1.63
Thomas Bryant,2022-23,4.61,3.33,0.11,0.39,0.11,DEN,25.0,18,1,205,0.485,0.444,13,18,0.722,Thomas Bryant,0.56,1.4,0.22,0.5,1.83,3.78,1.06
Thomas Bryant,2022-23,9.81,5.75,0.53,0.51,0.27,TOT,25.0,59,26,1082,0.623,0.441,93,126,0.738,Thomas Bryant,0.64,1.7,0.44,1.0,3.9,6.25,1.46
Thomas Bryant,2023-24,5.71,3.71,0.61,0.42,0.26,MIA,26.0,38,4,441,0.577,0.182,41,47,0.872,Thomas Bryant,0.55,1.2,0.11,0.58,2.26,3.92,1.05
Thomas Bryant,2024-25,4.1,3.2,0.4,0.9,0.1,MIA,27.0,10,0,115,0.429,0.353,11,11,1.0,Thomas Bryant,0.2,0.9,0.6,1.7,1.2,2.8,0.6
Thomas Bryant,2024-25,6.93,3.91,0.88,0.57,0.48,IND,27.0,56,8,848,0.515,0.321,44,53,0.83,Thomas Bryant,0.5,1.2,0.75,2.34,2.7,5.23,1.38
