Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Buddy Boeheim,2022-23,1.6,0.6,0.4,0.0,0.2,DET,23.0,10,0,90,0.185,0.16,2,2,1.0,Buddy Boeheim,0.0,0.6,0.4,2.5,0.5,2.7,0.2
Buddy Boeheim,2023-24,3.4,1.0,0.3,0.1,0.0,DET,24.0,10,0,84,0.31,0.32,8,10,0.8,Buddy Boeheim,0.0,0.5,0.8,2.5,0.9,2.9,0.3
Keith Bogans,2003-04,6.82,4.34,1.34,0.14,0.63,ORL,24.0,73,36,1787,0.403,0.358,65,103,0.631,Keith Bogans,1.03,1.8,0.92,2.56,2.51,6.22,1.45
Keith Bogans,2004-05,9.65,3.05,1.82,0.11,0.92,CHA,25.0,74,42,1791,0.381,0.329,133,183,0.727,Keith Bogans,1.65,2.3,0.77,2.34,3.54,9.3,1.03
Keith Bogans,2005-06,8.74,2.72,1.15,0.08,1.0,CHA,26.0,39,9,848,0.396,0.337,80,105,0.762,Keith Bogans,1.05,2.0,0.85,2.51,2.92,7.38,0.74
Keith Bogans,2005-06,8.52,4.52,2.52,0.18,0.97,HOU,26.0,33,22,1064,0.395,0.314,47,81,0.58,Keith Bogans,1.48,2.7,0.97,3.09,3.06,7.76,0.79
Keith Bogans,2005-06,8.64,3.54,1.78,0.12,0.99,TOT,26.0,72,31,1912,0.395,0.325,127,186,0.683,Keith Bogans,1.25,2.3,0.9,2.78,2.99,7.56,0.76
Keith Bogans,2006-07,5.05,1.58,1.0,0.03,0.47,ORL,27.0,59,18,990,0.404,0.387,47,63,0.746,Keith Bogans,0.78,1.7,0.9,2.32,1.68,4.15,0.27
Keith Bogans,2007-08,8.67,3.24,1.27,0.12,0.72,ORL,28.0,82,35,2198,0.41,0.362,81,110,0.736,Keith Bogans,0.65,2.0,1.8,4.99,2.94,7.17,0.51
Keith Bogans,2008-09,5.25,3.08,0.86,0.06,0.64,ORL,29.0,36,15,787,0.36,0.333,21,24,0.875,Keith Bogans,0.53,1.7,1.17,3.5,1.75,4.86,0.42
