Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Quinndary Weatherspoon,2019-20,1.09,0.64,1.0,0.09,0.27,SAS,23.0,11,0,78,0.294,0.2,1,2,0.5,Quinndary Weatherspoon,0.45,0.7,0.09,0.45,0.45,1.55,0.09
Quinndary Weatherspoon,2020-21,2.3,0.55,0.4,0.1,0.4,SAS,24.0,20,0,121,0.457,0.167,13,16,0.813,Quinndary Weatherspoon,0.5,0.9,0.05,0.3,0.8,1.75,0.15
Quinndary Weatherspoon,2021-22,2.73,1.27,0.45,0.09,0.09,GSW,25.0,11,0,73,0.571,0.2,5,5,1.0,Quinndary Weatherspoon,0.27,1.4,0.09,0.45,1.09,1.91,0.18
Kyle Weaver,2008-09,5.34,2.32,1.8,0.45,0.84,OKC,23.0,56,19,1166,0.459,0.344,41,58,0.707,Kyle Weaver,1.23,1.4,0.57,1.66,2.02,4.39,0.55
Kyle Weaver,2009-10,3.0,1.5,0.92,0.5,0.5,OKC,24.0,12,0,144,0.364,0.368,5,6,0.833,Kyle Weaver,0.33,1.1,0.58,1.58,1.0,2.75,0.08
Kyle Weaver,2010-11,5.6,2.0,1.4,0.4,0.4,UTA,25.0,5,0,69,0.36,0.429,7,8,0.875,Kyle Weaver,1.4,0.6,0.6,1.4,1.8,5.0,0.4
James Webb III,2017-18,1.6,2.4,0.4,0.0,0.1,BKN,24.0,10,0,120,0.25,0.211,0,0,0.0,James Webb III,0.4,1.0,0.4,1.9,0.6,2.4,0.8
Briante Weber,2015-16,4.83,4.0,3.33,0.5,1.5,MEM,23.0,6,4,166,0.342,0.0,3,4,0.75,Briante Weber,1.5,1.8,0.0,0.83,2.17,6.33,1.33
Briante Weber,2015-16,2.0,1.0,1.0,0.0,0.0,MIA,23.0,1,0,3,1.0,0.0,0,0,0.0,Briante Weber,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Briante Weber,2015-16,4.43,3.57,3.0,0.43,1.29,TOT,23.0,7,4,169,0.359,0.0,3,4,0.75,Briante Weber,1.29,1.7,0.0,0.71,2.0,5.57,1.14
Briante Weber,2016-17,1.71,0.57,0.71,0.14,0.43,GSW,24.0,7,0,46,0.357,0.0,2,3,0.667,Briante Weber,0.43,0.6,0.0,0.43,0.71,2.0,0.0
Briante Weber,2016-17,3.85,1.69,1.23,0.0,0.69,CHA,24.0,13,0,159,0.435,0.143,9,13,0.692,Briante Weber,0.38,0.9,0.08,0.54,1.54,3.54,0.62
Briante Weber,2016-17,3.1,1.3,1.05,0.05,0.6,TOT,24.0,20,0,205,0.417,0.1,11,16,0.688,Briante Weber,0.4,0.8,0.05,0.5,1.25,3.0,0.4
Briante Weber,2017-18,2.0,1.38,1.0,0.23,0.77,HOU,25.0,13,0,118,0.409,0.444,4,4,1.0,Briante Weber,0.54,1.4,0.31,0.69,0.69,1.69,0.23
Briante Weber,2017-18,4.8,3.4,1.8,0.4,1.6,MEM,25.0,5,0,119,0.476,0.0,4,6,0.667,Briante Weber,1.6,2.0,0.0,0.4,2.0,4.2,1.0
Briante Weber,2017-18,2.78,1.94,1.22,0.28,1.0,TOT,25.0,18,0,237,0.442,0.364,8,10,0.8,Briante Weber,0.83,1.6,0.22,0.61,1.06,2.39,0.44
Martell Webster,2005-06,6.62,2.13,0.56,0.23,0.34,POR,19.0,61,18,1070,0.399,0.357,61,71,0.859,Martell Webster,0.7,1.5,1.07,2.98,2.28,5.7,0.48
Martell Webster,2006-07,7.0,2.93,0.63,0.23,0.43,POR,20.0,82,27,1759,0.396,0.364,93,132,0.705,Martell Webster,0.93,1.5,1.11,3.05,2.38,6.0,0.52
Martell Webster,2007-08,10.65,3.95,1.2,0.37,0.56,POR,21.0,75,70,2132,0.422,0.388,122,166,0.735,Martell Webster,1.11,2.1,1.64,4.23,3.69,8.75,0.72
Martell Webster,2008-09,0.0,0.0,0.0,0.0,0.0,POR,22.0,1,0,5,0.0,0.0,0,0,0.0,Martell Webster,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Martell Webster,2009-10,9.37,3.27,0.76,0.49,0.55,POR,23.0,82,49,2005,0.405,0.373,126,155,0.813,Martell Webster,0.73,1.9,1.51,4.05,3.16,7.79,0.57
Martell Webster,2010-11,9.85,3.2,1.15,0.2,0.61,MIN,24.0,46,1,1094,0.447,0.417,94,122,0.77,Martell Webster,1.26,2.2,1.2,2.87,3.3,7.39,0.78
Martell Webster,2011-12,6.89,3.57,0.85,0.36,0.66,MIN,25.0,47,26,1140,0.423,0.339,57,72,0.792,Martell Webster,0.98,1.8,0.79,2.32,2.45,5.79,0.89
Martell Webster,2012-13,11.43,3.87,1.88,0.22,0.64,WAS,26.0,76,62,2200,0.442,0.422,168,198,0.848,Martell Webster,1.18,2.2,1.83,4.33,3.7,8.37,0.7
Martell Webster,2013-14,9.73,2.85,1.24,0.19,0.53,WAS,27.0,78,13,2157,0.433,0.392,105,125,0.84,Martell Webster,0.74,1.9,1.87,4.77,3.26,7.53,0.49
Martell Webster,2014-15,3.31,1.44,0.53,0.03,0.22,WAS,28.0,32,0,352,0.264,0.233,48,64,0.75,Martell Webster,0.69,0.8,0.31,1.34,0.75,2.84,0.31
Sonny Weems,2008-09,1.58,0.33,0.25,0.0,0.08,DEN,22.0,12,0,55,0.32,0.0,3,8,0.375,Sonny Weems,0.5,0.7,0.0,0.25,0.67,2.08,0.0
Sonny Weems,2009-10,7.51,2.78,1.46,0.36,0.57,TOR,23.0,69,19,1368,0.515,0.133,44,64,0.688,Sonny Weems,0.94,1.8,0.03,0.22,3.42,6.64,0.61
Sonny Weems,2010-11,9.24,2.59,1.76,0.03,0.58,TOR,24.0,59,28,1413,0.444,0.279,72,94,0.766,Sonny Weems,1.46,1.5,0.29,1.03,3.86,8.69,0.66
Sonny Weems,2015-16,2.5,1.14,1.31,0.03,0.28,PHX,29.0,36,0,421,0.393,0.406,7,13,0.538,Sonny Weems,1.03,1.1,0.36,0.89,0.97,2.47,0.17
Sonny Weems,2015-16,2.43,1.71,0.29,0.0,0.0,PHI,29.0,7,0,78,0.333,0.222,1,2,0.5,Sonny Weems,0.57,1.0,0.29,1.29,1.0,3.0,0.14
Sonny Weems,2015-16,2.49,1.23,1.14,0.02,0.23,TOT,29.0,43,0,498,0.382,0.366,8,15,0.533,Sonny Weems,0.95,1.1,0.35,0.95,0.98,2.56,0.16
Jaylen Wells,2024-25,10.42,3.39,1.71,0.1,0.56,MEM,21.0,79,74,2044,0.425,0.352,111,135,0.822,Jaylen Wells,0.87,1.8,1.75,4.96,3.63,8.56,1.1
Jaylen Wells,2025-26,10.0,3.67,1.75,0.0,0.5,MEM,22.0,12,12,305,0.379,0.292,13,20,0.65,Jaylen Wells,0.83,1.9,1.58,5.42,3.67,9.67,1.17
Jiri Welsch,2002-03,1.65,0.76,0.73,0.05,0.22,GSW,23.0,37,0,234,0.253,0.25,22,29,0.759,Jiri Welsch,0.51,0.9,0.03,0.11,0.51,2.03,0.32
Jiri Welsch,2003-04,9.21,3.65,2.26,0.09,1.25,BOS,24.0,81,68,2181,0.428,0.381,153,206,0.743,Jiri Welsch,1.59,2.2,0.85,2.23,3.23,7.56,0.74
Jiri Welsch,2004-05,7.55,2.53,1.53,0.09,0.71,BOS,25.0,55,32,1127,0.428,0.323,109,141,0.773,Jiri Welsch,1.05,1.9,0.58,1.8,2.49,5.82,0.36
Jiri Welsch,2004-05,2.88,1.75,1.19,0.0,0.31,CLE,25.0,16,0,192,0.235,0.182,20,28,0.714,Jiri Welsch,0.94,1.0,0.12,0.69,0.75,3.19,0.38
Jiri Welsch,2004-05,6.49,2.35,1.45,0.07,0.62,TOT,25.0,71,32,1319,0.402,0.309,129,169,0.763,Jiri Welsch,1.03,1.7,0.48,1.55,2.1,5.23,0.37
Jiri Welsch,2005-06,4.33,1.91,1.07,0.02,0.59,MIL,26.0,58,2,866,0.387,0.286,65,87,0.747,Jiri Welsch,0.71,1.1,0.24,0.84,1.48,3.83,0.38
Blake Wesley,2022-23,4.97,2.22,2.65,0.14,0.68,SAS,20.0,37,1,669,0.321,0.385,26,44,0.591,Blake Wesley,1.76,1.8,0.54,1.41,1.86,5.81,0.32
Blake Wesley,2023-24,4.39,1.54,2.72,0.15,0.48,SAS,21.0,61,3,876,0.474,0.218,52,78,0.667,Blake Wesley,0.9,1.5,0.2,0.9,1.67,3.52,0.3
Blake Wesley,2024-25,3.74,1.05,1.97,0.1,0.64,SAS,22.0,58,0,683,0.435,0.293,38,61,0.623,Blake Wesley,0.93,0.8,0.29,1.0,1.4,3.21,0.29
Blake Wesley,2025-26,6.0,2.33,3.17,0.17,1.67,POR,22.0,6,0,98,0.412,0.2,6,10,0.6,Blake Wesley,1.17,2.3,0.33,1.67,2.33,5.67,0.33
David West,2003-04,3.85,4.18,0.85,0.39,0.38,NOH,23.0,71,1,927,0.474,0.0,57,80,0.713,David West,0.68,1.6,0.0,0.03,1.52,3.21,1.65
David West,2004-05,6.2,4.3,0.77,0.53,0.4,NOH,24.0,30,8,552,0.436,0.4,34,50,0.68,David West,1.23,2.1,0.07,0.17,2.5,5.73,1.33
David West,2005-06,17.05,7.41,1.24,0.86,0.82,NOK,25.0,74,74,2526,0.512,0.273,199,236,0.843,David West,1.42,2.9,0.04,0.15,7.16,14.0,2.27
David West,2006-07,18.25,8.15,2.19,0.73,0.81,NOK,26.0,52,52,1900,0.476,0.32,187,227,0.824,David West,1.88,2.8,0.15,0.48,7.25,15.23,2.42
David West,2007-08,20.58,8.88,2.33,1.3,0.82,NOH,27.0,76,76,2870,0.482,0.24,300,353,0.85,David West,2.17,2.7,0.08,0.33,8.28,17.17,2.37
David West,2008-09,20.96,8.5,2.28,0.89,0.64,NOH,28.0,76,76,2982,0.472,0.24,367,415,0.884,David West,2.14,2.7,0.08,0.33,8.03,17.0,2.11
David West,2009-10,19.02,7.47,2.95,0.74,0.94,NOH,29.0,81,81,2949,0.505,0.259,296,342,0.865,David West,2.14,2.9,0.09,0.33,7.64,15.14,2.02
David West,2010-11,18.89,7.56,2.34,0.89,0.96,NOH,30.0,70,70,2451,0.508,0.222,264,327,0.807,David West,2.03,2.9,0.03,0.13,7.54,14.86,2.21
David West,2011-12,12.76,6.56,2.12,0.7,0.79,IND,31.0,66,66,1925,0.487,0.222,142,176,0.807,David West,1.41,2.4,0.03,0.14,5.29,10.85,1.79
David West,2012-13,17.12,7.71,2.92,0.95,1.01,IND,32.0,73,73,2435,0.498,0.211,242,315,0.768,David West,2.15,2.0,0.05,0.26,6.88,13.82,1.99
David West,2013-14,13.98,6.78,2.79,0.92,0.76,IND,33.0,80,80,2472,0.488,0.267,198,251,0.789,David West,1.66,2.3,0.05,0.19,5.72,11.74,1.5
David West,2014-15,11.65,6.8,3.38,0.73,0.73,IND,34.0,66,66,1895,0.471,0.2,119,161,0.739,David West,1.82,2.4,0.06,0.3,4.89,10.39,1.64
David West,2015-16,7.1,3.96,1.83,0.71,0.56,SAS,35.0,78,19,1404,0.545,0.429,63,80,0.788,David West,0.87,1.8,0.04,0.09,3.13,5.74,0.92
David West,2016-17,4.65,2.99,2.22,0.71,0.62,GSW,36.0,68,0,854,0.536,0.375,43,56,0.768,David West,1.15,1.5,0.04,0.12,1.99,3.71,0.69
David West,2017-18,6.78,3.26,1.89,1.03,0.64,GSW,37.0,73,0,999,0.571,0.375,60,79,0.759,David West,1.1,1.6,0.04,0.11,2.96,5.18,0.88
Delonte West,2004-05,4.49,1.67,1.36,0.21,0.54,BOS,21.0,39,7,505,0.426,0.358,19,27,0.704,Delonte West,0.62,1.8,0.62,1.72,1.69,3.97,0.36
Delonte West,2005-06,11.77,4.07,4.63,0.65,1.18,BOS,22.0,71,71,2418,0.487,0.385,86,101,0.851,Delonte West,1.87,2.8,1.18,3.07,4.69,9.63,0.8
Delonte West,2006-07,12.25,3.01,4.41,0.49,1.07,BOS,23.0,69,47,2219,0.427,0.365,168,197,0.853,Delonte West,2.03,2.2,0.94,2.58,4.43,10.39,0.46
Delonte West,2007-08,6.83,2.74,3.23,0.29,0.86,SEA,24.0,35,5,727,0.388,0.339,26,39,0.667,Delonte West,1.89,1.3,0.54,1.6,2.77,7.14,0.37
Delonte West,2007-08,10.31,3.73,4.46,0.73,1.12,CLE,24.0,26,26,806,0.44,0.367,41,52,0.788,Delonte West,1.96,2.3,1.12,3.04,3.81,8.65,0.69
Delonte West,2007-08,8.31,3.16,3.75,0.48,0.97,TOT,24.0,61,31,1534,0.413,0.356,67,91,0.736,Delonte West,1.92,1.7,0.79,2.21,3.21,7.79,0.51
Delonte West,2008-09,11.73,3.17,3.53,0.2,1.47,CLE,25.0,64,64,2152,0.457,0.399,90,108,0.833,Delonte West,1.44,2.0,1.42,3.56,4.45,9.75,0.48
Delonte West,2009-10,8.8,2.82,3.27,0.47,0.92,CLE,26.0,60,3,1500,0.445,0.325,115,142,0.81,Delonte West,1.5,1.4,0.42,1.28,3.23,7.27,0.48
Delonte West,2010-11,5.62,1.54,2.67,0.42,0.83,BOS,27.0,24,2,453,0.458,0.364,13,15,0.867,Delonte West,1.25,1.2,0.5,1.38,2.29,5.0,0.25
Delonte West,2011-12,9.57,2.3,3.16,0.25,1.32,DAL,28.0,44,33,1060,0.461,0.355,62,70,0.886,Delonte West,1.73,1.5,0.61,1.73,3.77,8.18,0.3
Mario West,2007-08,0.92,0.75,0.2,0.06,0.19,ATL,24.0,64,2,269,0.429,0.0,17,26,0.654,Mario West,0.14,1.0,0.0,0.06,0.33,0.77,0.41
Mario West,2008-09,0.81,1.06,0.36,0.08,0.34,ATL,25.0,53,3,269,0.412,1.0,14,30,0.467,Mario West,0.25,0.7,0.02,0.02,0.26,0.64,0.45
Mario West,2009-10,0.77,0.69,0.23,0.0,0.21,ATL,26.0,39,1,142,0.571,0.0,6,10,0.6,Mario West,0.18,0.6,0.0,0.03,0.31,0.54,0.21
