Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Tamar Slay,2002-03,2.56,0.86,0.39,0.08,0.39,NJN,23.0,36,0,274,0.379,0.28,7,10,0.7,Tamar Slay,0.56,0.9,0.19,0.69,1.08,2.86,0.22
Tamar Slay,2003-04,2.41,1.14,0.64,0.05,0.32,NJN,24.0,22,0,165,0.35,0.333,7,14,0.5,Tamar Slay,0.5,0.9,0.18,0.55,0.95,2.73,0.45
Tamar Slay,2004-05,3.5,1.75,0.38,0.0,0.62,CHA,25.0,8,0,77,0.333,0.167,0,2,0.0,Tamar Slay,1.0,2.5,0.25,1.5,1.62,4.88,0.75
Donald Sloan,2011-12,1.2,1.0,1.0,0.0,0.2,ATL,24.0,5,0,20,0.375,0.0,0,0,0.0,Donald Sloan,0.4,0.6,0.0,0.2,0.6,1.6,0.2
Donald Sloan,2011-12,4.0,1.0,2.67,0.0,0.67,NOH,24.0,3,0,41,0.357,0.0,2,4,0.5,Donald Sloan,1.67,0.7,0.0,0.67,1.67,4.67,0.67
Donald Sloan,2011-12,6.6,2.36,3.68,0.12,0.4,CLE,24.0,25,11,608,0.403,0.091,21,26,0.808,Donald Sloan,1.68,1.3,0.08,0.88,2.84,7.04,0.6
Donald Sloan,2011-12,5.55,2.03,3.18,0.09,0.39,TOT,24.0,33,11,670,0.399,0.08,23,30,0.767,Donald Sloan,1.48,1.1,0.06,0.76,2.39,6.0,0.55
Donald Sloan,2012-13,4.05,1.4,1.85,0.0,0.25,CLE,25.0,20,0,257,0.346,0.368,20,25,0.8,Donald Sloan,0.65,0.8,0.35,0.95,1.35,3.9,0.15
Donald Sloan,2012-13,0.0,0.0,0.33,0.0,0.0,NOH,25.0,3,0,6,0.0,0.0,0,0,0.0,Donald Sloan,0.33,0.0,0.0,0.0,0.0,0.0,0.0
Donald Sloan,2012-13,3.52,1.22,1.65,0.0,0.22,TOT,25.0,23,0,263,0.346,0.368,20,25,0.8,Donald Sloan,0.61,0.7,0.3,0.83,1.17,3.39,0.13
Donald Sloan,2013-14,2.29,0.92,1.04,0.02,0.21,IND,26.0,48,1,392,0.376,0.238,12,20,0.6,Donald Sloan,0.46,0.4,0.21,0.88,0.92,2.44,0.08
Donald Sloan,2014-15,7.38,2.7,3.58,0.0,0.43,IND,27.0,53,21,1107,0.408,0.313,60,77,0.779,Donald Sloan,1.23,0.9,0.77,2.47,2.74,6.7,0.23
Donald Sloan,2015-16,6.95,2.84,4.39,0.07,0.52,BKN,28.0,61,33,1318,0.44,0.384,78,104,0.75,Donald Sloan,1.31,1.2,0.62,1.62,2.52,5.74,0.28
Uros Slokar,2006-07,1.9,0.7,0.05,0.1,0.05,TOR,24.0,20,0,72,0.538,0.5,9,13,0.692,Uros Slokar,0.45,0.6,0.05,0.1,0.7,1.3,0.35
Alen Smailagic,2019-20,4.21,1.93,0.93,0.29,0.21,GSW,19.0,14,0,139,0.5,0.231,16,19,0.842,Alen Smailagic,0.79,1.0,0.21,0.93,1.43,2.86,0.71
Alen Smailagic,2020-21,1.87,1.07,0.27,0.33,0.2,GSW,20.0,15,1,84,0.407,0.4,2,6,0.333,Alen Smailagic,0.33,0.7,0.27,0.67,0.73,1.8,0.4
Javonte Smart,2021-22,2.38,1.46,1.08,0.15,0.31,MIL,23.0,13,1,160,0.256,0.222,5,6,0.833,Javonte Smart,0.69,0.8,0.31,1.38,0.85,3.31,0.31
Javonte Smart,2021-22,5.0,1.25,0.5,0.25,0.5,MIA,23.0,4,0,40,0.471,0.444,0,0,0.0,Javonte Smart,0.5,0.2,1.0,2.25,2.0,4.25,0.25
Javonte Smart,2021-22,3.0,1.41,0.94,0.18,0.35,TOT,23.0,17,1,200,0.317,0.296,5,6,0.833,Javonte Smart,0.65,0.7,0.47,1.59,1.12,3.53,0.29
Javonte Smart,2023-24,0.0,0.0,0.0,0.0,0.0,PHI,25.0,1,0,1,0.0,0.0,0,0,0.0,Javonte Smart,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Smart,2014-15,7.81,3.31,3.1,0.27,1.48,BOS,21.0,67,38,1808,0.367,0.335,82,127,0.646,Marcus Smart,1.34,2.6,1.36,4.06,2.61,7.12,0.91
Marcus Smart,2015-16,9.15,4.18,3.03,0.3,1.49,BOS,22.0,61,10,1667,0.348,0.253,129,166,0.777,Marcus Smart,1.31,3.0,1.0,3.95,3.02,8.67,1.25
