Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Anthony Gill,2020-21,3.08,1.96,0.42,0.15,0.38,WAS,28.0,26,4,218,0.5,0.292,13,16,0.813,Anthony Gill,0.31,1.0,0.27,0.92,1.15,2.31,0.62
Anthony Gill,2021-22,4.09,1.93,0.61,0.25,0.11,WAS,29.0,44,0,463,0.569,0.538,42,52,0.808,Anthony Gill,0.41,1.3,0.32,0.59,1.41,2.48,0.75
Anthony Gill,2022-23,3.31,1.68,0.58,0.2,0.12,WAS,30.0,59,8,625,0.538,0.138,49,67,0.731,Anthony Gill,0.25,1.2,0.07,0.49,1.2,2.24,0.63
Anthony Gill,2023-24,3.78,1.88,0.68,0.22,0.26,WAS,31.0,50,3,466,0.469,0.244,29,36,0.806,Anthony Gill,0.46,1.0,0.2,0.82,1.5,3.2,0.74
Anthony Gill,2024-25,2.53,1.29,0.31,0.04,0.18,WAS,32.0,51,0,398,0.489,0.323,33,50,0.66,Anthony Gill,0.2,0.6,0.2,0.61,0.84,1.73,0.35
Anthony Gill,2025-26,1.8,0.8,0.0,0.0,0.0,WAS,33.0,5,0,13,0.75,1.0,2,2,1.0,Anthony Gill,0.4,0.2,0.2,0.2,0.6,0.8,0.2
Eddie Gill,2000-01,4.88,1.12,3.0,0.12,0.5,NJN,22.0,8,0,152,0.39,0.333,4,5,0.8,Eddie Gill,1.25,1.1,0.38,1.12,2.0,5.12,0.0
Eddie Gill,2001-02,5.04,1.22,2.13,0.13,0.48,MEM,23.0,23,5,381,0.424,0.318,31,39,0.795,Eddie Gill,1.48,1.7,0.3,0.96,1.7,4.0,0.3
Eddie Gill,2003-04,2.27,0.77,0.73,0.05,0.41,POR,25.0,22,0,157,0.417,0.375,17,20,0.85,Eddie Gill,0.55,0.7,0.14,0.36,0.68,1.64,0.18
Eddie Gill,2004-05,3.68,1.53,1.14,0.07,0.81,IND,26.0,73,3,1020,0.335,0.308,71,81,0.877,Eddie Gill,0.82,1.4,0.49,1.6,1.11,3.32,0.22
Eddie Gill,2005-06,1.1,0.37,0.29,0.02,0.27,IND,27.0,41,0,122,0.222,0.304,18,23,0.783,Eddie Gill,0.22,0.3,0.17,0.56,0.24,1.1,0.0
Eddie Gill,2007-08,2.92,1.69,1.62,0.15,0.54,NJN,29.0,13,1,149,0.414,0.357,9,9,1.0,Eddie Gill,0.62,1.4,0.38,1.08,0.92,2.23,0.08
Eddie Gill,2007-08,0.0,0.0,1.0,0.0,0.0,SEA,29.0,1,0,5,0.0,0.0,0,0,0.0,Eddie Gill,1.0,0.0,0.0,1.0,0.0,2.0,0.0
Eddie Gill,2007-08,2.71,1.57,1.57,0.14,0.5,TOT,29.0,14,1,153,0.387,0.333,9,9,1.0,Eddie Gill,0.64,1.3,0.36,1.07,0.86,2.21,0.07
Eddie Gill,2008-09,2.33,0.67,1.83,0.17,0.5,MIL,30.0,6,0,43,0.667,0.667,0,0,0.0,Eddie Gill,0.83,1.7,0.33,0.5,1.0,1.5,0.0
Collin Gillespie,2023-24,3.62,0.88,1.12,0.0,0.54,DEN,25.0,24,0,225,0.464,0.395,8,12,0.667,Collin Gillespie,0.58,1.0,0.62,1.58,1.33,2.88,0.04
Collin Gillespie,2024-25,5.88,2.36,2.36,0.15,0.64,PHX,26.0,33,9,461,0.43,0.433,19,22,0.864,Collin Gillespie,0.52,0.9,1.18,2.73,2.06,4.79,0.67
Collin Gillespie,2025-26,10.0,3.64,5.27,0.55,1.09,PHX,26.0,11,0,263,0.392,0.389,6,9,0.667,Collin Gillespie,1.45,1.1,2.55,6.55,3.45,8.82,0.91
Freddie Gillespie,2020-21,5.55,4.85,0.45,1.0,0.65,TOR,24.0,20,2,392,0.524,0.0,23,33,0.697,Freddie Gillespie,0.6,2.2,0.0,0.0,2.2,4.2,2.1
Freddie Gillespie,2021-22,2.33,4.0,0.56,1.0,0.33,ORL,25.0,9,2,119,0.409,0.0,3,7,0.429,Freddie Gillespie,0.56,2.0,0.0,0.11,1.0,2.44,1.44
Jacob Gilyard,2022-23,3.0,4.0,7.0,0.0,3.0,MEM,24.0,1,0,41,0.333,0.333,0,0,0.0,Jacob Gilyard,2.0,3.0,1.0,3.0,1.0,3.0,0.0
Jacob Gilyard,2023-24,4.68,1.16,3.54,0.14,0.73,MEM,25.0,37,14,654,0.417,0.425,2,2,1.0,Jacob Gilyard,0.78,0.9,1.38,3.24,1.62,3.89,0.22
Jacob Gilyard,2023-24,0.0,0.75,1.5,0.0,1.5,BKN,25.0,4,0,45,0.0,0.0,0,0,0.0,Jacob Gilyard,0.25,1.0,0.0,1.5,0.0,1.5,0.25
Jacob Gilyard,2023-24,4.22,1.12,3.34,0.12,0.8,TOT,25.0,41,14,698,0.4,0.405,2,2,1.0,Jacob Gilyard,0.73,1.0,1.24,3.07,1.46,3.66,0.22
