Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Tito Maddox,2002-03,1.22,0.78,0.56,0.11,0.33,HOU,22.0,9,0,35,0.25,0.0,5,8,0.625,Tito Maddox,0.33,0.4,0.0,0.33,0.33,1.33,0.11
Mark Madsen,2000-01,1.96,2.17,0.34,0.11,0.11,LAL,25.0,70,3,641,0.487,1.0,26,37,0.703,Mark Madsen,0.39,1.6,0.01,0.01,0.79,1.61,1.06
Mark Madsen,2001-02,2.83,2.75,0.75,0.22,0.27,LAL,26.0,59,5,650,0.452,0.0,35,54,0.648,Mark Madsen,0.37,1.8,0.0,0.03,1.12,2.47,1.51
Mark Madsen,2002-03,3.22,2.94,0.7,0.35,0.28,LAL,27.0,54,22,781,0.423,0.0,36,61,0.59,Mark Madsen,0.5,2.1,0.0,0.0,1.28,3.02,1.59
Mark Madsen,2003-04,3.6,3.78,0.39,0.25,0.46,MIN,28.0,72,12,1246,0.495,0.0,57,118,0.483,Mark Madsen,0.65,2.4,0.0,0.08,1.4,2.83,1.86
Mark Madsen,2004-05,2.15,3.12,0.44,0.34,0.17,MIN,29.0,41,14,601,0.515,0.0,20,40,0.5,Mark Madsen,0.59,2.5,0.0,0.0,0.83,1.61,1.54
Mark Madsen,2005-06,1.19,2.27,0.18,0.27,0.37,MIN,30.0,62,7,676,0.409,0.0,20,47,0.426,Mark Madsen,0.42,1.8,0.0,0.11,0.44,1.06,0.81
Mark Madsen,2006-07,1.09,1.55,0.18,0.18,0.18,MIN,31.0,56,0,473,0.535,0.0,15,29,0.517,Mark Madsen,0.38,1.8,0.0,0.0,0.41,0.77,0.62
Mark Madsen,2007-08,0.45,1.9,0.2,0.1,0.15,MIN,32.0,20,6,151,0.158,0.0,3,12,0.25,Mark Madsen,0.45,1.2,0.0,0.0,0.15,0.95,0.9
Mark Madsen,2008-09,0.32,0.95,0.21,0.05,0.05,MIN,33.0,19,1,116,0.214,0.0,0,4,0.0,Mark Madsen,0.16,0.9,0.0,0.0,0.16,0.74,0.53
Josh Magette,2017-18,2.56,1.06,3.17,0.06,0.44,ATL,28.0,18,0,216,0.326,0.364,8,8,1.0,Josh Magette,0.5,0.9,0.44,1.22,0.83,2.56,0.11
Josh Magette,2019-20,1.5,0.75,0.62,0.12,0.38,ORL,30.0,8,0,38,0.333,0.25,1,2,0.5,Josh Magette,0.62,0.5,0.12,0.5,0.62,1.88,0.12
Corey Maggette,1999-00,8.39,3.94,0.79,0.34,0.31,ORL,20.0,77,5,1370,0.478,0.182,196,261,0.751,Corey Maggette,1.79,2.2,0.03,0.14,2.91,6.09,1.6
